,RNA_S_C1,RNA_S_C2,RNA_S_C3,RNA_R_C1,RNA_R_C2,RNA_R_C3,RNA_S_T1,RNA_S_T2,RNA_S_T3,RNA_R_T1,RNA_R_T2,RNA_R_T3
653720,11.8934821223514,7.69190240287163,11.652009346302,7.53414777747765,7.68474596050279,6.71369626445512,23.446745877385,19.6834673673555,11.5411993426155,12.2083745150724,8.64910954101999,15.6810016036437
440253,75.0204256948317,74.9960484279984,86.8604333087966,36.5944320620343,47.2062966145171,50.3527219834134,95.5905793462621,82.6705629428933,76.9413289507699,72.3111413585059,61.5047789583644,68.604382015941
646278,172.912932394185,158.645487059227,141.942659309497,147.454035073491,148.205814952554,160.009760969514,113.626537713481,108.259070520455,121.182593097463,162.465291623656,176.826239505298,152.889765635526
728310,21.0423145241601,29.8061218111276,25.422565846477,25.8313638084948,26.3477004360095,21.2600381707745,17.1341604488583,12.7942537887811,11.5411993426155,28.1731719578594,20.1812555957133,24.5015650056932
321,456.526736850256,460.552656371939,491.502939698556,674.844379496927,655.399048345738,621.016904462098,431.961202894901,412.368641346099,404.903743603426,498.665143654112,459.363817845284,491.99142531432
56160,296.422169818603,287.484852307327,336.848997465821,263.695172211718,240.422766478587,297.640534390843,477.051098812949,451.73557608081,440.489108243158,313.661314464168,304.640858278149,282.258028865586
7082,3014.54027639598,3084.45286355152,3056.00426946193,2879.12075782182,2799.44317132601,2956.26425511507,2182.35096243353,2122.86195556929,2237.06913924363,2347.76432982162,2382.3491724654,2346.26986494518
89832,1.82976648036175,1.92297560071791,2.11854715387309,9.68676142818555,16.467312772506,14.5463419063194,1.80359583672193,0.984173368367777,0.961766611884623,13.1474802470011,6.72708519857111,11.7607512027327
100288203,58.552527371576,60.5737314226141,65.6749617700657,67.8073299972989,68.0648927930247,70.4938107767787,65.8312480403503,83.654736311261,80.7883953983084,79.8239872139351,80.7250223828533,92.1258844214065
102725021,17.3827815634366,24.9986828093328,21.1854715387309,19.3735228563711,18.6629544755068,17.903190038547,12.6251708570535,16.7309472622522,13.4647325663847,11.2692687831438,15.3761947395911,16.6610642038714
728498,4.57441620090437,7.69190240287163,9.53346219242889,16.1446023803092,6.58692510900239,8.95159501927349,5.41078751016578,5.90504021020666,2.88529983565387,11.2692687831438,13.4541703971422,17.6411268040991
89839,408.952808360851,450.937778368349,441.717081582539,589.816140293965,518.171441908188,609.827410688006,347.192198568971,340.523985455251,345.27421366658,422.597579367892,469.934951728753,491.99142531432
100288637,223.231510604133,187.490121069996,200.202706041007,216.337671896144,193.21646986407,223.789875481837,117.233729386925,107.274897152088,123.106126321232,124.90106234651,129.7366431153,104.866698224367
390561,9.14883240180875,12.4993414046664,6.35564146161926,6.4578409521237,9.88038766350358,5.59474688704593,3.60719167344385,2.95252010510333,5.77059967130774,7.51284585542918,4.80506085612222,5.88037560136637
22909,677.013597733847,698.0401430606,624.971410392561,403.615059507731,464.378220184668,459.888194115175,596.088424036597,664.317023648249,635.727730455736,431.988636687178,492.038231666915,482.190799312043
54893,349.485397749094,365.365364136402,361.212289735361,245.397956180701,287.629063093104,311.067926919754,286.771738038786,290.331143668494,303.918249355541,266.706027867736,283.498590511211,287.158341866725
51621,477.569051374417,427.862071159734,417.353789312998,1266.8131334416,1162.59228173892,1078.66719982246,293.084323467313,302.141224088908,291.415283401041,935.349309000933,915.844599176895,1003.58410263319
105376707,13.7232486027131,13.4608292050253,5.29636788468272,39.8233525380961,27.4455212875099,29.0926838126388,21.6431500406631,13.7784271571489,12.5029659545001,27.2340662259308,35.5574503353044,32.3420658075151
161725,9.14883240180875,9.61487800358953,13.7705565001751,8.6104546028316,6.58692510900239,11.1894937740919,4.50898959180482,3.93669347347111,3.84706644753849,3.75642292771459,5.76607302734666,7.84050080182183
1139,2.74464972054262,2.88446340107686,4.23709430774618,17.2209092056632,21.956417030008,24.6168863030021,3.60719167344385,0.984173368367777,4.80883305942312,15.0256917108584,18.2592312532644,16.6610642038714
107987222,20.1274312839792,11.5378536043074,12.7112829232385,15.0682955549553,14.2716710695052,21.2600381707745,9.91977710197059,12.7942537887811,9.61766611884623,20.6603261024303,17.29821908204,16.6610642038714
100288615,64.0418268126612,56.7277802211783,51.9044052698906,66.7310231719449,65.8692510900239,60.423266380096,51.4024813465749,65.9396156806411,71.1707292794621,79.8239872139351,73.0369250130577,72.5246324168519
9824,1627.57728428178,1695.10299203284,1703.31191171396,2089.11154801202,2243.94582046681,2415.81170582643,1037.96940403347,1144.59362741172,1128.15223574066,1988.08683449295,1993.1392431195,1834.67718762631
114118903,461.101153051161,478.820924578759,534.933156352955,694.217902353298,653.203406642737,739.625538467472,393.18389240538,408.431947872627,392.400777648926,563.463439157189,570.84122970732,594.897998338231
6447,6.40418268126612,6.73041460251267,8.47418861549235,7.53414777747765,4.39128340600159,5.59474688704593,9.91977710197059,7.87338694694222,5.77059967130774,12.2083745150724,16.3372069108155,15.6810016036437
342184,42.9995122885011,46.1514144172298,44.4894902313348,0,0,0,28.8575333875508,34.4460678928722,24.0441652971156,0,0,0
6263,21.957197764341,37.4980242139992,33.8967544619694,10.7630682535395,25.2498795845092,21.2600381707745,15.3305646121364,14.7626005255167,14.4264991782694,9.39105731928648,14.4151825683667,12.7408138029605
57099,214.997561442506,217.296242881124,240.455101964595,231.405967451099,212.977245191077,223.789875481837,190.279360774163,183.056246516407,181.773889646194,193.455780777301,181.63130036142,176.411268040991
1133,3.6595329607235,5.76892680215372,2.11854715387309,1.07630682535395,4.39128340600159,5.59474688704593,6.31258542852674,5.90504021020666,10.5794327307309,3.75642292771459,9.61012171224444,2.94018780068319
56851,413.527224561755,415.362729755068,401.46468565895,494.024832837463,511.584516799185,492.337726060042,440.979182078511,500.944244499198,476.074472882889,555.95059330176,566.036168851197,471.410110709538
