Ensembl_ID,Entrez_ID,Gene_Symbol,log2FoldChange
,107984993,LOC107984993,-1.9649067735934
,101929185,LOC101929185,1.09362997277165
ENSG00000121101,56155,TEX14,1.33654147731646
ENSG00000284564,100616387,MIR3064,1.00228547331677
,102723961,,3.83340529702647
,105371922,LOC105371922,1.11218081147346
,107985021,,-2.82896114141882
ENSG00000262833,101928855,LOC101928855,-2.23137197405751
ENSG00000261924,400627,LOC400627,-1.07656070368924
,107987250,,-1.02011292685106
ENSG00000265751,101927521,GREB1L-AS1,-1.07166116039305
,107987258,,-1.47102181586632
ENSG00000282959,105372107,LOC105372107,-1.72877158678511
,107985147,LOC107985147,-1.86768789092332
ENSG00000302008,105372106,LOC105372106,-1.44105661884263
,105372105,CTIF-AS1,-2.37072502278792
ENSG00000141682,5366,PMAIP1,1.01111635000873
ENSG00000188305,374872,PEAK3,1.76512567451544
ENSG00000156413,2528,FUT6,1.6662549964535
ENSG00000125657,8744,TNFSF9,1.42797027233707
,105372269,LOC105372269,1.64311159358134
ENSG00000220201,100125288,ZGLP1,1.04030319065189
ENSG00000160888,9592,IER2,1.08845673454711
ENSG00000130518,80726,IQCN,2.32270703268108
ENSG00000130513,9518,GDF15,1.06856304725325
,107985285,LOC107985285,2.03289571178521
ENSG00000166359,126248,WDR88,1.24332117489714
ENSG00000189001,374897,SBSN,3.9521345104496
ENSG00000125740,2354,FOSB,1.19772550776918
,105372439,LOC105372439,1.53086850268029
,105372471,LOC105372471,1.26070012333115
ENSG00000124216,6615,SNAI1,1.34240543339799
ENSG00000274559,102724334,LOC102724334,-1.15402888719878
,109864280,RNA18SN2,-3.58627375138691
,109910380,RNA18SN3,-3.49788616145082
,109910382,RNA28SN3,-2.39714167834416
,106631781,RNA18SN1,-3.59766289209776
,106632264,RNA28SN1,-2.26219129821185
ENSG00000215386,388815,MIR99AHG,-1.02610319310781
,112268282,,-1.85629937708801
,105372797,LOC105372797,-2.13856600271424
ENSG00000234289,54145,H2BC12L,-1.13714182009031
ENSG00000183307,27439,TMEM121B,1.25411392108137
ENSG00000230701,26226,FBXW4P1,-1.08521501427448
,107985554,LOC107985554,-2.19774090704354
ENSG00000177993,100874123,ZNRF3-AS1,-1.82382589540326
ENSG00000130943,10343,PKDREJ,3.15010949943049
,109864273,RNA18SN4,-3.58009507747166
ENSG00000101916,51311,TLR8,-1.14647199951554
ENSG00000126759,5199,CFP,1.84913048775066
ENSG00000147174,93953,GCNA,1.4726635491217
ENSG00000268104,11254,SLC6A14,1.07377979473388
ENSG00000125675,2892,GRIA3,-3.63536460948252
,100008588,RNA18SN5,-3.57876319301059
,100008589,RNA28SN5,-2.22322691321846
