Ensembl_ID,Entrez_ID,Gene_Symbol,log2FoldChange
ENSG00000030419,22807,IKZF2,-1.19917354513328
,107985983,MARCHF4-AS1,-1.8046776093492
ENSG00000179921,151306,GPBAR1,2.10055679244355
ENSG00000018280,6556,SLC11A1,1.34364150508133
ENSG00000127831,7429,VIL1,-1.08327023082599
ENSG00000213901,151295,SLC23A3,1.28396071703298
ENSG00000127824,7277,TUBA4A,2.15188989088409
ENSG00000286095,100996693,SPEGNB,2.08649240794187
ENSG00000123999,3623,INHA,1.53171588152974
ENSG00000135905,55619,DOCK10,-1.22949168087979
ENSG00000081052,1286,COL4A4,-2.0671565726325
ENSG00000206885,654321,SNORA75,2.05042333985701
ENSG00000163273,4880,NPPC,1.95870891557933
ENSG00000135902,1144,CHRND,2.14671149567949
ENSG00000196811,1146,CHRNG,1.66234504202592
ENSG00000115474,3769,KCNJ13,-1.29626093244108
,105373943,,1.11370370731305
,107986000,,-1.76859174863399
,105373942,LOC105373942,-2.54739666873206
ENSG00000163359,1293,COL6A3,-1.08367017850879
,107985787,LOC107985787,3.4334328480224
ENSG00000163701,132014,IL17RE,2.0777973974253
ENSG00000207496,619563,SNORA7A,1.74185684231493
,105376960,LOC105376960,1.6571536152569
,101927647,LOC101927647,-1.3916282566818
,107986069,,-1.55393276050097
,107986013,,-1.88475592801714
,107986073,,-1.94768439489377
ENSG00000172936,4615,MYD88,2.54268270443301
ENSG00000229589,100128640,ACVR2B-AS1,1.03304126748686
,107986075,LOC107986075,2.82596787407654
,105377046,LOC105377046,1.7397014406719
,100885795,LARS2-AS1,-2.66332782084212
ENSG00000172215,10663,CXCR6,-2.01441667390836
ENSG00000173578,2829,XCR1,-1.25691527146443
ENSG00000213689,11277,TREX1,1.7727205976784
ENSG00000224424,100506637,PRKAR2A-AS1,1.40873578189501
ENSG00000221883,646450,ARIH2OS,1.18576006763684
ENSG00000199032,494337,MIR425,2.20384515700721
ENSG00000207605,406966,MIR191,2.63086522982772
,22973,LAMB2P1,1.93091243633502
ENSG00000145020,275,AMT,1.29771782252173
ENSG00000114378,3373,HYAL1,1.28897907086546
ENSG00000004838,51364,ZMYND10,2.17691623513012
ENSG00000164082,2912,GRM2,1.2389614810979
,106144532,ARF4-AS1,1.47608277944
,105377103,LOC105377103,-2.58125334245973
ENSG00000244161,105377105,FLNB-AS1,-1.01887908879439
,105377116,,-2.2306192240001
,107986018,LOC107986018,-1.87156724748206
,105377148,,-1.07751437412945
ENSG00000255423,55096,EBLN2,-2.7527618481109
ENSG00000178750,415117,STX19,-1.44286861799511
,105374010,LOC105374010,-1.16411530486811
,105374009,LOC105374009,-3.69676466417583
ENSG00000144802,64332,NFKBIZ,1.28207064513286
ENSG00000031081,57514,ARHGAP31,1.27701045685412
ENSG00000121577,64091,POPDC2,1.68644077757053
ENSG00000242622,107986119,GSK3B-DT,1.00271050904057
ENSG00000145087,9515,STXBP5L,-1.19010016917031
,105369194,LOC105369194,-3.35656105421288
,105374080,LOC105374080,1.13655439261819
ENSG00000179348,2624,GATA2,1.05465541465966
ENSG00000289469,105374101,LOC105374101,1.33946633795849
,339942,H1-10-AS1,1.2469777431024
ENSG00000172771,90288,EFCAB12,3.07009941057313
ENSG00000206384,131873,COL6A6,-1.01544707952161
ENSG00000181322,347736,NME9,-1.21533153056386
ENSG00000051382,5291,PIK3CB,-1.02875757408965
ENSG00000244578,103344930,LINC01391,1.16751951031613
ENSG00000241313,100128025,WWTR1-AS1,1.14260544943344
ENSG00000174944,9934,P2RY14,-1.22265142617866
ENSG00000181631,53829,P2RY13,-1.9636955273582
ENSG00000152580,285313,IGSF10,-1.34431016744909
,105374167,LOC105374167,-1.40998797237899
,100287227,TIPARP-AS1,1.14812360657752
,107986152,,-1.05597170586832
ENSG00000075420,64778,FNDC3B,-1.02793605380245
,107986162,LOC107986162,1.40780626865075
,100874113,YEATS2-AS1,-1.07407945777302
ENSG00000145198,90113,VWA5B2,1.9236083607929
ENSG00000090534,7066,THPO,2.89717196868959
ENSG00000213139,1427,CRYGS,1.09320385747459
ENSG00000113916,604,BCL6,1.4332474931117
ENSG00000306963,102724808,LOC102724808,-1.22806175237912
ENSG00000114315,3280,HES1,1.71973167306494
ENSG00000185112,131583,FAM43A,1.65275393564073
,105374296,LOC105374296,-1.42907680434155
ENSG00000225822,100874034,UBXN7-AS1,1.1435890384818
,105379426,LOC105379426,-1.16792355517142
,105374341,GAK-AS1,-1.75355866407481
,105374347,MAEA-DT,1.50943896529448
,105374353,LOC105374353,1.95165133401786
