gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
BAHD1	1.0229378503666646	1.0934266887069708	0.5226172748915405	2.0922130615255514	0.0364194605986415	0.1964730054312672
GBP2	16.742557500658894	0.32853891674802244	0.15702948780231088	2.092211605259962	0.0364195908105314	0.1964730054312672
KLF10	6.0086851591679045	0.45988073866532087	0.2197294310466059	2.092941016025193	0.03635442024281534	0.1964730054312672
MYLK3	1.1022221156985537	-1.1734552159103862	0.5608483386361441	-2.092286158436277	0.036412925152999924	0.1964730054312672
RPGRIP1L	2.6373701332144397	0.730415888475165	0.34909291995286457	2.092325128145789	0.03640944135924216	0.1964730054312672
MAFG	1.4959467856960584	-0.9147212987360803	0.437268218889279	-2.0918997979308838	0.036447480180005765	0.19651039342595403
CEP97	2.194411361919059	-0.7169261858098269	0.34282752614629847	-2.091215352129821	0.03650876374073592	0.1965900910592739
MGST3	367.1127066395993	0.1391084707184798	0.06652346802887357	2.0911187411050447	0.03651742111698449	0.1965900910592739
UBA6-AS1	1.8515870951919564	-0.8858790253502832	0.4236562983225465	-2.091032350652859	0.03652516410252295	0.1965900910592739
CDK4	3.8855059535776406	-0.5300428817660195	0.25377999508908716	-2.08859205620188	0.03674446087714619	0.19738652206528914
FGL2	5.775960151581883	0.4694585489583977	0.2247498585948819	2.088804646612082	0.03672531197069231	0.19738652206528914
FXR1	21.060452091962	-0.28785768512137233	0.13779020486285576	-2.0891012202781796	0.03669861254326637	0.19738652206528914
SPOCK2	5.387629969609974	-0.5515874362793274	0.2641134248285615	-2.088449069324545	0.036757345085963615	0.19738652206528914
SH3GL1	2.0589421572733384	0.8406877000956179	0.40270706279976354	2.0875911493850055	0.03683473105971047	0.19768885999762184
GOSR2	12.438749749726096	-0.3677719438776109	0.17625758002679875	-2.0865595897872518	0.03692796334828059	0.19807584917247073
CANT1	6.440956168769276	-0.6894425949969575	0.33059994270642895	-2.0854286584350046	0.037030407712263846	0.19851177970851105
PAK2	3.2707297401452635	-0.6767981421943807	0.3246841944680193	-2.084481332093435	0.03711640654693835	0.198814588178791
SPP1	41.352417084986136	0.4580625331372882	0.21976388584162204	2.0843394326736724	0.03712930289047174	0.198814588178791
