gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj	entrez	symbol	ensgene	description
181	14232.106689005948	4.390207568566752	0.24891002376898202	9.360663233905811e-71	3.139379235387331e-68	181	AGRP	ENSG00000159723	agouti related neuropeptide
5719	715.8077016710927	7.084649457800768	0.39999263115549455	1.2310248448713166e-70	4.047657965421002e-68	5719	PSMD13	ENSG00000185627	proteasome 26S subunit, non-ATPase 13
3219	1262.3354222835794	5.005451498482589	0.28444998406877153	2.3219843265354638e-70	7.48795291762946e-68	3219	HOXB9	ENSG00000170689	homeobox B9
5421	1496.7784104261254	4.431631050675872	0.25234485023471614	4.237894971744587e-70	1.3408539770034902e-67	5421	NA	NA	NA
1581	3353.542891715701	4.281071827858885	0.24486092207226032	1.6414784114011548e-69	5.097398422367771e-67	1581	CYP7A1	ENSG00000167910	cytochrome P450 family 7 subfamily A member 1
1715	1227.658295125262	4.483812790482064	0.25727482265168455	4.4823582707734193e-69	1.366630288047263e-66	1715	NA	NA	NA
5032	1242.6817881081515	4.6977454302150505	0.2697567151239608	5.025515152111253e-69	1.504872564031314e-66	5032	P2RY11	ENSG00000244165	purinergic receptor P2Y11
2106	1840.942593875394	5.458305233398448	0.3139875268376705	9.218746190119362e-69	2.6653302562433035e-66	2106	NA	NA	NA
7174	618.382084652385	5.8329860746258655	0.3349682219891329	9.104344094691049e-69	2.6653302562433035e-66	7174	TPP2	ENSG00000134900	tripeptidyl peptidase 2
1912	3008.571296227565	4.136361647708357	0.2381368733671036	1.2092385354884092e-68	3.436901864678836e-66	1912	PHC2	ENSG00000134686	polyhomeotic homolog 2
1552	1331.7205364427066	4.3768792581155616	0.25288402521866593	3.6360690769655344e-68	1.0162207058605841e-65	1552	NA	NA	NA
384	6688.908942456746	3.999105064479604	0.2315556437881205	5.7350596210189675e-68	1.576577291555198e-65	384	ARG2	ENSG00000081181	arginase 2
4217	1484.0001304863163	4.255283841752873	0.24673904981617636	1.0588581684430579e-67	2.8638697784873606e-65	4217	MAP3K5	ENSG00000197442	mitogen-activated protein kinase kinase kinase 5
1660	8039.069635687819	3.9312199801526244	0.2287153882253245	2.9539787788446453e-67	7.862741292451725e-65	1660	DHX9	ENSG00000135829	DExH-box helicase 9
