gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj	entrez	symbol	ensgene	description
67	29427.73998615075	-0.43570752542624935	0.21285346777781836	0.03549978079926351	0.06556121412145924	67	ACTBP7	NA	ACTB pseudogene 7
68	21413.594948095593	1.1626863994471273	0.2489622599009584	1.413058702496403e-6	6.55479429658705e-6	68	ACTBP8	NA	ACTB pseudogene 8
69	6720.861040764165	0.3594699581398587	0.2552560693442522	0.14757122811755682	0.2208300842676522	69	ACTBP9	NA	ACTB pseudogene 9
70	27627.33431779509	0.07292725033502763	0.22691937535837342	0.7497199928229377	0.8127257456621528	70	ACTC1	ENSG00000159251	actin alpha cardiac muscle 1
71	6569.103299181354	3.5064596543693796	0.2266882672393257	5.77627338635106e-55	9.590329546110981e-53	71	ACTG1	ENSG00000184009	actin gamma 1
72	14171.273045997346	1.4546166827714389	0.2991139642506892	3.3568695846419045e-7	1.7037332344085985e-6	72	ACTG2	ENSG00000163017	actin gamma 2, smooth muscle
73	17734.307378540045	1.0616914230807333	0.26122757954367587	2.0825881076353242e-5	7.987859098109961e-5	73	ACTG1P1	NA	actin gamma 1 pseudogene 1
74	20427.248557247214	3.5241054510510192	0.24197247953083026	4.891396422074458e-49	6.408111453263015e-47	74	ACTG1P2	NA	actin gamma 1 pseudogene 2
75	19355.456800511263	0.30773816025556455	0.23220805649461837	0.1755864750799323	0.2546846813091761	75	ACTG1P3	NA	actin gamma 1 pseudogene 3
76	16168.837469733651	-0.03044909692610063	0.23255758854774458	0.8827502682995247	0.9182333136353036	76	NA	NA	NA
77	7338.06592191256	1.9346671356119856	0.2662597244497913	6.881757375499288e-14	8.172817948282405e-13	77	NA	NA	NA
78	47240.201596012594	-1.2063024800131443	0.2181754792961839	1.4265735915552892e-8	8.749894863493286e-8	78	ACTG1P6	NA	actin gamma 1 pseudogene 6
79	13057.991972185744	0.018602498495298426	0.21394752357283353	0.9317713059518213	0.9531429896605925	79	ACTG1P7	NA	actin gamma 1 pseudogene 7
80	28322.38484725965	-0.07901980338638057	0.22505825498300974	0.698790743424743	0.7719382066198627	80	ACTG1P8	NA	actin gamma 1 pseudogene 8
81	25425.485095546846	0.44425028558898066	0.2487540364862253	0.06428588350382589	0.1090551320663284	81	ACTN4	ENSG00000130402	actinin alpha 4
82	10137.254544452964	0.10982714588045686	0.2159367770450843	0.6058122053964612	0.6918793756244132	82	ACTG1P9	NA	actin gamma 1 pseudogene 9
83	31502.525902290654	-0.6544046372847471	0.21924179876857652	0.002166441527960789	0.005595973195066925	83	ACTG1P10	NA	actin gamma 1 pseudogene 10
84	21282.368706889425	1.30090122696922	0.2674599217272351	5.402973272027331e-7	2.6663466391591025e-6	84	NA	NA	NA
85	16857.000527634213	0.7493043650759418	0.21964639079002954	4.717965724378477e-4	0.0014015158057059818	85	NA	NA	NA
