gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj	entrez	symbol	ensgene	description
3753	1235.6697274069747	-2.5938918559859627	0.24788798795213995	1.7806261246378558e-26	6.156560718361279e-25	3753	KCNE1	ENSG00000180509	potassium voltage-gated channel subfamily E regulatory subunit 1
5017	915.024413240118	-3.0627991709927054	0.2936518998902973	1.9818166250544126e-26	6.824041680808511e-25	5017	OVOL1	ENSG00000172818	ovo like transcriptional repressor 1
7240	676.3419639313048	-2.7438207225932993	0.2628965306587848	2.1621183859275593e-26	7.429623609348206e-25	7240	TRV-CAC1-2	NA	tRNA-Val (anticodon CAC) 1-2
11432	210.9743595960939	-4.216283917393322	0.40529300847978983	2.5000189559474708e-26	8.520897941520963e-25	11432	NA	NA	NA
1875	1930.947207691768	-2.926852345270794	0.28134813068442455	2.792022543488108e-26	9.496840980071415e-25	1875	E2F5	ENSG00000133740	E2F transcription factor 5
9528	283.9686642538308	-3.5048934366668845	0.3376013632814547	3.052955039011132e-26	1.0321573195398724e-24	9528	TMEM59	ENSG00000116209	transmembrane protein 59
5753	1110.6091255933102	-2.5825286217868517	0.24907915351610585	4.7906602481382147e-26	1.600290472132066e-24	5753	PTK6	ENSG00000101213	protein tyrosine kinase 6
5746	1370.6024481253198	-2.5317496859591464	0.2441614817352032	4.8796332996246915e-26	1.6203281346813158e-24	5746	PTH2R	ENSG00000144407	parathyroid hormone 2 receptor
9562	595.8740375941337	-2.7738418212342797	0.26811154191183584	5.555712684502467e-26	1.8375492308958947e-24	9562	MINPP1	ENSG00000107789	multiple inositol-polyphosphate phosphatase 1
9675	268.5514722580097	-3.5943483780350474	0.34862072967557983	6.467463470067142e-26	2.1307052049028666e-24	9675	TTI1	ENSG00000101407	TELO2 interacting protein 1
9466	512.667579427959	-3.2502966651501266	0.3152795314056564	6.647369433187109e-26	2.185681137747346e-24	9466	IL27RA	ENSG00000104998	interleukin 27 receptor subunit alpha
9896	434.266559648496	-3.6071633091891724	0.35040950356490036	6.92995971722177e-26	2.2696971581658568e-24	9896	FIG4	ENSG00000112367	FIG4 phosphoinositide 5-phosphatase
918	5804.93174287262	-2.3428498743472232	0.22775885795043221	1.3033884863708073e-25	4.219405700376847e-24	918	NA	NA	NA
9010	371.904902949919	-3.711389471240615	0.36342966224783185	1.6106342041573344e-25	5.164192154782856e-24	9010	NA	NA	NA
878	4371.447006100678	-3.058075188362454	0.30107453386538446	3.3369646394254455e-25	1.0478943827439194e-23	878	CCA1	NA	cataract, congenital, cerulean type, 1
6486	445.521968814126	-3.410146210768252	0.3366806623237911	4.063857329725138e-25	1.2666695829397926e-23	6486	NA	NA	NA
7395	809.528122545526	-2.586630453381213	0.2546953638465346	4.358763409963785e-25	1.3535574744756055e-23	7395	NA	NA	NA
7775	459.25175125936937	-3.363860951808369	0.3324055020227206	4.651088738028632e-25	1.436355562578308e-23	7775	ZNF232	ENSG00000167840	zinc finger protein 232
889	8953.396166465522	-3.018392065216679	0.2982288279417782	4.903619577349114e-25	1.5058553761503832e-23	889	KRIT1	ENSG00000001631	KRIT1 ankyrin repeat containing
6458	824.465508077455	-3.0134099227086955	0.29834960914103903	6.153124782801698e-25	1.879448988757772e-23	6458	SH3GL1P1	NA	SH3 domain containing GRB2 like 1, endophilin A2 pseudogene 1
127	14804.55277157764	-2.2234956647472113	0.22060093260604005	1.198942391484676e-24	3.590190171929737e-23	127	ADH4	ENSG00000198099	alcohol dehydrogenase 4 (class II), pi polypeptide
4070	702.3141120344128	-2.5823736484650364	0.2572819442798618	1.4670783093546634e-24	4.377479745474795e-23	4070	TACSTD2	ENSG00000184292	tumor associated calcium signal transducer 2
9276	325.8272248235371	-3.3119799220674055	0.3310617668788167	1.5320689397078535e-24	4.563279582586323e-23	9276	COPB2	ENSG00000184432	COPI coat complex subunit beta 2
6322	653.1656223575321	-2.6730705902261387	0.2678521249958104	2.471477325762523e-24	7.258179207655298e-23	6322	SCML1	ENSG00000047634	Scm polycomb group protein like 1
2771	2433.1864298196356	-2.703895833240119	0.27174526558724077	3.2484337776968375e-24	9.391894141068667e-23	2771	GNAI2	ENSG00000114353	G protein subunit alpha i2
6745	831.2064908191409	-2.495146443505125	0.25081820242236774	3.780301742640264e-24	1.0910822706081687e-22	6745	SSR1	ENSG00000124783	signal sequence receptor subunit 1
9776	383.13111688279315	-2.887530648943381	0.290934329518669	3.9686031298799516e-24	1.143462300428813e-22	9776	ATG13	ENSG00000175224	autophagy related 13
7561	1197.816258519942	-2.4112911341929593	0.243242145308434	4.609184690246181e-24	1.3212208217220207e-22	7561	ZNF14	ENSG00000105708	zinc finger protein 14
6652	217.79608166751277	-3.5607226457789145	0.36087736553130273	6.194576851326742e-24	1.7636139086570142e-22	6652	SORD	ENSG00000140263	sorbitol dehydrogenase
