ENSEMBL_ID	SYMBOL	ENTREZID	GENENAME
ENSG00000107362	ABHD17B	51104	abhydrolase domain containing 17B, depalmitoylase
ENSG00000107371	EXOSC3	51010	exosome component 3
ENSG00000107372	ZFAND5	7763	zinc finger AN1-type containing 5
ENSG00000107404	DVL1	1855	dishevelled segment polarity protein 1
ENSG00000107438	PDLIM1	9124	PDZ and LIM domain 1
ENSG00000107443	CCNJ	54619	cyclin J
ENSG00000107485	GATA3	2625	GATA binding protein 3
ENSG00000107521	HPS1	3257	HPS1 biogenesis of lysosomal organelles complex 3 subunit 1
ENSG00000107537	PHYH	5264	phytanoyl-CoA 2-hydroxylase
ENSG00000107551	RASSF4	83937	Ras association domain family member 4
ENSG00000107554	DNMBP	23268	dynamin binding protein
ENSG00000107560	RAB11FIP2	22841	RAB11 family interacting protein 2
ENSG00000107566	ERLIN1	10613	ER lipid raft associated 1
ENSG00000107581	EIF3A	8661	eukaryotic translation initiation factor 3 subunit A
ENSG00000107614	TRDMT1	1787	tRNA aspartic acid methyltransferase 1
ENSG00000107625	DDX50	79009	DExD-box helicase 50
ENSG00000107643	MAPK8	5599	mitogen-activated protein kinase 8
ENSG00000107651	SEC23IP	11196	SEC23 interacting protein
ENSG00000107669	ATE1	11101	arginyltransferase 1
ENSG00000107672	NSMCE4A	54780	NSE4 homolog A, SMC5-SMC6 complex component
ENSG00000107679	PLEKHA1	59338	pleckstrin homology domain containing A1
ENSG00000107719	PALD1	27143	phosphatase domain containing paladin 1
ENSG00000107731	UNC5B	219699	unc-5 netrin receptor B
ENSG00000107736	CDH23	64072	cadherin related 23
ENSG00000107738	VSIR	64115	V-set immunoregulatory receptor
ENSG00000107745	MICU1	10367	mitochondrial calcium uptake 1
ENSG00000107758	PPP3CB	5532	protein phosphatase 3 catalytic subunit beta
ENSG00000107771	CCSER2	54462	coiled-coil serine rich protein 2
ENSG00000107779	BMPR1A	657	bone morphogenetic protein receptor type 1A
ENSG00000107789	MINPP1	9562	multiple inositol-polyphosphate phosphatase 1
ENSG00000107796	ACTA2	59	actin alpha 2, smooth muscle
ENSG00000107798	LIPA	3988	lipase A, lysosomal acid type
ENSG00000107815	TWNK	56652	twinkle mtDNA helicase
ENSG00000107816	LZTS2	84445	leucine zipper tumor suppressor 2
ENSG00000107819	SFXN3	81855	sideroflexin 3
ENSG00000107821	KAZALD1	81621	Kazal type serine peptidase inhibitor domain 1
ENSG00000107829	FBXW4	6468	F-box and WD repeat domain containing 4
ENSG00000107833	NPM3	10360	nucleophosmin/nucleoplasmin 3
ENSG00000107854	TNKS2	80351	tankyrase 2
ENSG00000107862	GBF1	8729	golgi brefeldin A resistant guanine nucleotide exchange factor 1
ENSG00000107863	ARHGAP21	57584	Rho GTPase activating protein 21
ENSG00000107872	FBXL15	79176	F-box and leucine rich repeat protein 15
ENSG00000107874	CUEDC2	79004	CUE domain containing 2
ENSG00000107882	SUFU	51684	SUFU negative regulator of hedgehog signaling
ENSG00000107890	ANKRD26	22852	ankyrin repeat domain containing 26
ENSG00000107897	ACBD5	91452	acyl-CoA binding domain containing 5
ENSG00000107902	LHPP	64077	phospholysine phosphohistidine inorganic pyrophosphate phosphatase
ENSG00000107929	LARP4B	23185	La ribonucleoprotein 4B
ENSG00000107937	GTPBP4	23560	GTP binding protein 4
ENSG00000107938	EDRF1	26098	erythroid differentiation regulatory factor 1
ENSG00000107949	BCCIP	56647	BRCA2 and CDKN1A interacting protein
ENSG00000107951	MTPAP	55149	mitochondrial poly(A) polymerase
