Ensembl_ID,Entrez_ID,Gene_Symbol,logFC
ENSG00000136943,1515,CTSV,-1.6064272034066471
ENSG00000108679,3959,LGALS3BP,1.2557647381351122
ENSG00000119969,3070,HELLS,-1.257245997533037
ENSG00000198056,5557,PRIM1,-1.8270278213758693
ENSG00000144283,8502,PKP4,-1.209646434579844
ENSG00000189403,3146,HMGB1,-1.030136354277608
ENSG00000156509,286151,FBXO43,-1.5300419916250865
ENSG00000184445,9735,KNTC1,-1.3730250082864466
ENSG00000165490,220042,DDIAS,-2.023277021521151
ENSG00000189159,51155,JPT1,-1.097729623957126
ENSG00000198554,11169,WDHD1,-1.3724037834760912
ENSG00000138496,83666,PARP9,1.919676422665301
ENSG00000233611,121853074,GBX2-AS1,-1.03419104282009
ENSG00000151725,79682,CENPU,-1.6675560494207509
ENSG00000119917,3437,IFIT3,3.4650633011834344
ENSG00000180155,66004,LYNX1,1.4657852082166969
ENSG00000085840,4998,ORC1,-1.2598199992115386
ENSG00000104147,11339,OIP5,-2.5012442614148074
ENSG00000167767,144501,KRT80,-2.821144212444266
ENSG00000154678,5137,PDE1C,-1.551468180520537
ENSG00000185862,2124,EVI2B,1.1893033012154668
ENSG00000161513,2232,FDXR,1.2425082764423632
ENSG00000132182,23225,NUP210,-1.2966331127686068
ENSG00000177602,83903,HASPIN,-1.2977598881475836
ENSG00000167186,10229,COQ7,-1.1563394011003094
ENSG00000047644,55841,WWC3,-1.2289392131558752
ENSG00000132109,6737,TRIM21,1.1590492460817563
ENSG00000111445,5985,RFC5,-1.5177175809128003
ENSG00000153044,64946,CENPH,-1.1442002312612027
ENSG00000174791,9610,RIN1,1.2151637250978573
ENSG00000121621,81930,KIF18A,-2.2294316653894737
ENSG00000183098,10082,GPC6,-1.427634622417056
ENSG00000179750,9582,APOBEC3B,-2.0128703909909427
ENSG00000099901,5902,RANBP1,-1.141986030755512
ENSG00000137628,55601,DDX60,1.899077071380247
ENSG00000132437,1644,DDC,-1.177672801442834
ENSG00000267698,101927572,LOC101927572,-1.023740144307297
ENSG00000108448,,TRIM16L,-1.3198575184371952
ENSG00000149636,79980,DSN1,-1.0408755496488462
ENSG00000065320,9423,NTN1,1.0660866634233397
ENSG00000171560,2243,FGA,-3.3604448150078685
ENSG00000178685,84875,PARP10,2.060966170661869
ENSG00000228716,1719,DHFR,-2.7122163289648937
ENSG00000214548,55384,MEG3,2.654781191020561
ENSG00000138092,79172,CENPO,-1.157148614371811
ENSG00000154914,124739,USP43,-1.2065022882498506
ENSG00000182628,348235,SKA2,-1.630926073144547
ENSG00000106628,5425,POLD2,-1.0366990845185668
ENSG00000259781,,HMGB1P6,-1.1448352969008244
ENSG00000162624,431707,LHX8,-1.1656195720300704
ENSG00000103257,8140,SLC7A5,-2.578722606812131
ENSG00000134222,84722,PSRC1,-1.2784371419790692
ENSG00000197903,85236,H2BC12,1.0031423081337527
ENSG00000142669,83442,SH3BGRL3,1.042178187406889
ENSG00000241388,283460,HNF1A-AS1,-1.5560780884569567
ENSG00000094804,990,CDC6,-1.7016395301473806
ENSG00000086061,3301,DNAJA1,1.1802230309122042
ENSG00000090238,83719,YPEL3,1.5820622376194766
ENSG00000136636,51133,KCTD3,-1.0745770988987844
ENSG00000123975,1164,CKS2,-1.3779055838824732
ENSG00000206190,57194,ATP10A,-1.175025962219153
ENSG00000064042,22998,LIMCH1,-1.2347361298419184
ENSG00000285920,,,-1.3787791060743246
ENSG00000184661,157313,CDCA2,-1.2212427774949992
ENSG00000218336,55714,TENM3,-1.2226587356417769
ENSG00000163362,55765,INAVA,-1.298573403748314
ENSG00000175793,2810,SFN,1.907874800267381
ENSG00000123416,10376,TUBA1B,-1.042118409484546
ENSG00000213928,10379,IRF9,1.4676238846376366
ENSG00000075188,79023,NUP37,-1.343650944714998
ENSG00000129173,79733,E2F8,-1.2283862517381046
