Ensembl_ID,Entrez_ID,Gene_Symbol,logFC
ENSG00000114346,1894,ECT2,-1.884836978956068
ENSG00000259768,101927978,ZFHX3-AS1,-1.2069371229438983
ENSG00000051180,5888,RAD51,-1.632132271929505
ENSG00000123975,1164,CKS2,-1.5616220556434373
ENSG00000291314,,,-1.9839482823603969
ENSG00000186193,89958,SAPCD2,-1.3768957947936578
ENSG00000168824,27065,NSG1,1.3719619355972228
ENSG00000196208,9687,GREB1,1.2437399577391728
ENSG00000101412,1869,E2F1,-1.9834129333093533
ENSG00000100242,25777,SUN2,-1.1315080812448874
ENSG00000123416,10376,TUBA1B,-1.16950999969408
ENSG00000012048,672,BRCA1,-2.074136334849673
ENSG00000184678,8349,H2BC21,1.1735634790230067
ENSG00000136943,1515,CTSV,-1.6504696659874738
ENSG00000144283,8502,PKP4,-1.2466644540779774
ENSG00000169379,200894,ARL13B,-1.1755011090643537
ENSG00000101868,5422,POLA1,-1.373716671621464
ENSG00000100479,5427,POLE2,-1.3726588162671456
ENSG00000233276,2876,GPX1,1.306851532747869
ENSG00000183688,359845,RFLNB,-1.0265219468219309
ENSG00000051341,10721,POLQ,-1.1699656458303975
ENSG00000147408,55790,CSGALNACT1,-1.3723463763484285
ENSG00000179750,9582,APOBEC3B,-2.1358284855793865
ENSG00000258725,100507118,PRC1-AS1,-1.3071027722450554
ENSG00000151725,79682,CENPU,-1.7260132310930008
ENSG00000259952,,,-1.3866972220507183
ENSG00000105011,55723,ASF1B,-2.131455705090386
ENSG00000129534,55320,MIS18BP1,-1.1953808620240574
ENSG00000167670,10036,CHAF1A,-1.4916360229413637
ENSG00000188290,57801,HES4,-1.524378817968187
ENSG00000123485,55355,HJURP,-1.4014985743253976
ENSG00000165490,220042,DDIAS,-2.0170202037375304
ENSG00000184445,9735,KNTC1,-1.3684438797906566
ENSG00000156509,286151,FBXO43,-1.5207251901526562
ENSG00000178096,51027,BOLA1,-1.014451002238904
ENSG00000094804,990,CDC6,-1.8084507165405537
ENSG00000130844,55422,ZNF331,-1.0596852697306374
ENSG00000143217,81607,NECTIN4,1.1171572845651727
ENSG00000289754,,,-1.58020261159519
ENSG00000233611,121853074,GBX2-AS1,-1.0292114130753849
ENSG00000166881,23306,NEMP1,-1.3116287600771448
ENSG00000057593,2155,F7,-1.1458366433180356
ENSG00000153574,22934,RPIA,-1.0411502619181243
ENSG00000125458,30833,NT5C,-1.0473648393439214
ENSG00000084710,22979,EFR3B,1.652432792379137
ENSG00000161692,80174,DBF4B,-1.320059935042811
ENSG00000279399,,,-1.0296886071339908
ENSG00000278970,100859930,HEIH,-1.552058386246734
ENSG00000112984,10112,KIF20A,-2.3482110660106
ENSG00000245694,101927480,LOC101927480,-1.3582096333081135
ENSG00000160200,875,CBS,-2.1285980890130243
ENSG00000120699,11340,EXOSC8,-2.0279965999331826
ENSG00000180318,8092,ALX1,-1.1508289193016532
ENSG00000159263,6493,SIM2,-1.199552258278334
ENSG00000136114,55901,THSD1,1.2497908830240363
ENSG00000107249,169792,GLIS3,-1.4688674094844365
ENSG00000213186,286827,TRIM59,-1.3158282930145364
ENSG00000279208,,,1.1985579440757843
ENSG00000274276,102724560,LOC102724560,-2.075580838069831
