Ensembl_ID,Entrez_ID,Gene_Symbol,logFC
ENSG00000100479,5427,POLE2,1.1654114369604625
ENSG00000085840,4998,ORC1,1.107982424574698
ENSG00000186153,51741,WWOX,1.0508722037717328
ENSG00000198056,5557,PRIM1,1.5625205220872067
ENSG00000288825,8337,H2AC18,-1.2198818611707845
ENSG00000184661,157313,CDCA2,1.1256019883095298
ENSG00000288859,723790,H2AC19,-1.2159521577920374
ENSG00000274430,,,4.050563965941048
ENSG00000186871,54821,ERCC6L,1.0395975733691625
ENSG00000101412,1869,E2F1,1.6137915772392697
ENSG00000161692,80174,DBF4B,1.1462830373693085
ENSG00000165480,221150,SKA3,1.4448382490485072
ENSG00000122861,5328,PLAU,1.1763784859864588
ENSG00000155428,378108,TRIM74,-1.0039479923575363
ENSG00000277586,4747,NEFL,-1.448250235463937
ENSG00000285077,89839,ARHGAP11B,1.4346070478107484
ENSG00000127586,63922,CHTF18,1.2614191001502568
ENSG00000258315,124944,BACC1,1.7366658025721913
ENSG00000163071,132671,SPATA18,-1.0577052265665898
ENSG00000149503,3619,INCENP,1.142439261755536
ENSG00000125885,84515,MCM8,1.035881567803456
ENSG00000174371,9156,EXO1,1.674477901041703
ENSG00000179750,9582,APOBEC3B,1.7228754380457565
ENSG00000151725,79682,CENPU,1.391339419311305
ENSG00000092621,26227,PHGDH,3.1218886264522805
ENSG00000113810,10051,SMC4,1.4153918211213776
ENSG00000154839,220134,SKA1,1.9428834916894733
ENSG00000086061,3301,DNAJA1,-1.0339822098936011
ENSG00000166881,23306,NEMP1,1.0892619471573937
ENSG00000167601,558,AXL,1.2978989201091364
ENSG00000289754,,,1.3036599570371163
ENSG00000233133,,NPEPPSP2,-1.124071761391856
ENSG00000259952,,,1.1056260706058834
ENSG00000094804,990,CDC6,1.478801110965661
ENSG00000127528,10365,KLF2,1.557137881784728
ENSG00000182612,83882,TSPAN10,-1.3839132254463906
ENSG00000197191,375791,CYSRT1,-1.0945182036877934
ENSG00000033100,54480,CHPF2,-1.0435061267664452
ENSG00000132517,55065,SLC52A1,-1.3691860805959035
ENSG00000177602,83903,HASPIN,1.0714634438002455
ENSG00000137491,11309,SLCO2B1,-1.395192122550803
ENSG00000163918,5984,RFC4,1.1437206222747531
ENSG00000119403,26147,PHF19,1.3319337341454691
ENSG00000163535,151246,SGO2,1.1936912717352075
ENSG00000257181,,,-1.3487080216770444
ENSG00000279718,,SNX18P12,-1.3172379156296046
ENSG00000128944,90417,KNSTRN,1.0188050855022772
ENSG00000178752,151176,ERFE,1.4291288423589923
ENSG00000111445,5985,RFC5,1.2261104817373067
ENSG00000230176,728228,LINC01433,1.3801827388894008
ENSG00000132182,23225,NUP210,1.0404176272613643
ENSG00000110092,595,CCND1,-1.3661239881218723
ENSG00000215251,60493,FASTKD5,-1.0707057731561205
ENSG00000137812,57082,KNL1,1.0731372781857762
ENSG00000136114,55901,THSD1,-1.0036657839135494
ENSG00000112029,26271,FBXO5,1.3931622699606103
ENSG00000123485,55355,HJURP,1.0812159535304438
ENSG00000224126,,UBE2SP2,1.3290748142033777
ENSG00000131652,79228,THOC6,1.0425102942788866
ENSG00000171320,157570,ESCO2,1.3603210779942316
ENSG00000071539,9319,TRIP13,1.5283996626990506
ENSG00000139289,22822,PHLDA1,1.1463740861872642
ENSG00000188290,57801,HES4,1.1507329645753734
ENSG00000134222,84722,PSRC1,1.0281048641100463
ENSG00000126391,83786,FRMD8,-1.0682799666853704
ENSG00000156802,29028,ATAD2,1.49087149256317
ENSG00000272636,8447,DOC2B,1.3600608224180168
ENSG00000147408,55790,CSGALNACT1,1.0001060402329929
ENSG00000132967,10354,HMGB1P5,1.3088626431634278
ENSG00000290697,,,-1.3192135189191936
ENSG00000200381,100169755,RNA5S4,-3.739404486008997
ENSG00000080986,10403,NDC80,1.410865828846099
