ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0072089	stem cell proliferation	17/1033	59/8616	3.895827554158009e-4	0.026701402698113736	0.0237345801761011	CTNNB1/WNT5A/TP53/SOX11/PTCH1/NFIB/DGCR8/NF2/SOX9/TIAL1/KAT7/HNRNPU/FBLN1/CD34/CITED1/ERCC2/NANOG	17
GO:0045596	negative regulation of cell differentiation	61/1033	333/8616	4.022029804061202e-4	0.027148701177413116	0.024132178824367218	CTNNB1/ACTB/CALR/DDIT3/PDCD4/PPP3CA/PTPRS/ABCA1/WNT5A/H4C15/TP53/CRIM1/TOB1/SOX11/SRSF6/JAK3/EIF4E/REST/TRIB3/HMGB1/TP53INP1/SKIL/PTCH1/RIOX1/ENPP1/TWIST1/FLCN/PTEN/SEMA5A/TMEM176B/RUNX1T1/RUFY3/PRAMEF27/FGF13/NF2/ITGB3/YWHAH/CAV1/TRIB2/SOX9/HNRNPU/IGF1/MT3/TMEM98/DDX6/LDB1/ABCG1/XBP1/FOXP1/WNT4/B2M/NOCT/CDK5RAP2/SEMA4D/ANP32B/LDLR/TNFAIP6/SHOC2/INSIG1/CITED1/DUSP10	61
GO:0098657	import into cell	78/1033	451/8616	4.3328417756472023e-4	0.028810164344042218	0.025609034972481973	GPC3/ACTB/CALR/CDC42/CTTN/PPP3CA/RIN2/INSR/CTBP1/ATP1B1/ABCA1/WNT5A/EZR/AP1G1/CARMIL1/ARF6/DPYSL2/KCNJ2/SLC12A2/CDC42SE2/HMGB1/AXL/MSR1/ENPP1/PER2/ANXA2/SLC1A5/SLC38A2/SYNJ2BP/MARCHF2/SLC39A10/CD47/GRB2/CCL2/SLC38A1/CANX/RAB21/ACTG1/SLC30A1/SLC39A11/STON2/RAB3B/ITGB3/PIKFYVE/CAV1/LRRC8A/FMR1/SLC7A11/TBC1D24/RUFY2/LIPA/FCHSD2/PLSCR1/ITCH/LGALS3/SLC3A2/EPS15/SH3GL1/B2M/SNCA/OPHN1/SNX17/RALA/DBNL/GPM6B/BTBD9/RUBCN/ATP1A1/NECAP1/ARL6IP1/LDLR/SCARB2/PRNP/PPT1/SLC39A14/SYNJ2/CLEC7A/SLC29A1	78
GO:0001568	blood vessel development	69/1033	389/8616	4.4769221995246685e-4	0.029128465913042866	0.02589196970048255	GPC3/GPNMB/CTNNB1/DDIT3/B4GALT1/NKX3-1/RIN2/WNT5A/UBP1/SLC12A2/TMED2/SLIT2/COL1A1/SARS1/HK2/RHOB/ARID2/TWIST1/ANXA2/PDGFA/SYNJ2BP/SEMA5A/PRDM1/SGPL1/COL15A1/CD47/WARS1/CCL2/TJP1/EGR1/ACTG1/MYLK/ITGB3/ROBO1/CAV1/MDM2/EMC10/ACTA2/LIPA/AMOTL1/CYBB/CLIC4/SAT1/TBXA2R/HIF1AN/XBP1/HIPK1/WNT4/CFLAR/CCL24/SNX17/ADTRP/SPARC/F3/TNFAIP2/HMOX1/CD34/EGLN1/LDLR/VEGFB/COL3A1/PDGFRA/CEMIP2/NSDHL/GLUL/DCTN5/BCAS3/CITED1/TEAD2	69
GO:0006954	inflammatory response	63/1033	348/8616	4.5114795690234745e-4	0.029128465913042866	0.02589196970048255	WFDC1/B4GALT1/PDCD4/HNRNPA0/PSMB4/WNT5A/CSNK1A1/ASS1/LYZ/FANCD2/TMED2/DDX3X/HMGB1/ARNT/AXL/IFNGR2/TMEM258/LGALS1/NUPR1/PBXIP1/KPNA6/TRIM55/APOL2/IFNGR1/CD47/CCL2/FOSL2/LY96/TXNIP/CD68/SERPINA3/MGST2/GBP2/GAS5/STMP1/LIPA/TRIM45/CYBB/IGF1/PLSCR1/ITCH/TBXA2R/FOXP1/CSF1R/CUL3/SNCA/A2M/CARD8/CCL24/F3/IL6ST/IFI16/CERS6/HMOX1/KARS1/NEAT1/BRD4/LDLR/TNFAIP6/CUEDC2/PRDX5/CLEC7A/DUSP10	63
GO:1901699	cellular response to nitrogen compound	66/1033	369/8616	4.691118511413947e-4	0.02985561852621305	0.026538327578856047	CTNNB1/ACTB/NUCKS1/PPP3CA/INSR/EZR/TP53/EIF4EBP2/JAK3/STC1/ASS1/DNMT3A/NONO/PDGFC/TRIB3/SLIT2/COL1A1/RAP1GDS1/MAX/ENPP1/LEPROT/CPEB1/ARID1B/FDX1/GRB2/EGR1/OGT/ITGB3/CAV1/MDM2/CASTOR2/SOX9/NPM1/CDK2/CYBB/IGF1/YWHAG/EHMT2/LAMTOR3/RRAGC/IRS1/XBP1/PCK2/IGF1R/PIP4K2A/CUL3/RPL23/IFIT1/SNCA/DAXX/VIM/CFLAR/PDK4/SLC30A10/PARP1/AHCYL1/GNG2/PIP4K2C/DDR2/COL3A1/PDGFRA/PRNP/MGARP/SLC39A14/SHOC2/INSIG1	66
GO:0071417	cellular response to organonitrogen compound	62/1033	342/8616	4.810435379291237e-4	0.030183788189778116	0.026830033946469437	CTNNB1/ACTB/NUCKS1/PPP3CA/INSR/EZR/TP53/EIF4EBP2/JAK3/STC1/ASS1/DNMT3A/NONO/PDGFC/TRIB3/SLIT2/COL1A1/RAP1GDS1/MAX/ENPP1/LEPROT/CPEB1/ARID1B/FDX1/GRB2/EGR1/OGT/ITGB3/CAV1/MDM2/CASTOR2/SOX9/CYBB/IGF1/YWHAG/EHMT2/LAMTOR3/RRAGC/IRS1/XBP1/PCK2/IGF1R/PIP4K2A/CUL3/RPL23/SNCA/VIM/CFLAR/PDK4/SLC30A10/PARP1/AHCYL1/GNG2/PIP4K2C/DDR2/COL3A1/PDGFRA/PRNP/MGARP/SLC39A14/SHOC2/INSIG1	62
GO:0048545	response to steroid hormone	38/1033	184/8616	4.905477674062963e-4	0.030338328784227986	0.02696740336375821	PAQR7/CNOT9/CALR/NKX3-1/STC1/ASS1/EIF4E/REST/STRN3/SLIT2/COL1A1/FOSL2/TXNIP/SKP2/YWHAH/CAV1/MDM2/GPI/DDX5/HNRNPU/CYBB/PTGDS/FOXP1/PCK2/IGF1R/A2M/DAXX/RXRA/PIAS2/CFLAR/ADTRP/IDH1/PARP1/ATP1A1/SGK1/MGARP/DSG2/TFPI	38
GO:0045087	innate immune response	79/1033	460/8616	4.971263751399872e-4	0.030338328784227986	0.02696740336375821	CDC42/ATP1B1/BCL10/PTPRS/SERINC5/WNT5A/TP53/SHMT2/AP1G1/APOBEC3C/CSNK1A1/JAK3/ASS1/NONO/SERPINB9/DDX3X/CALM1/HMGB1/AXL/G3BP1/IFNGR2/TRIM59/STAT2/LSM14A/IFI6/G3BP2/MARCHF2/PRDM1/CNOT7/TRIM13/TRIM35/IFNGR1/CD47/CDC42EP4/DTX3L/UBE2N/CCL2/TMEM33/C7/FOSL2/LY96/ACTG1/ULBP3/UBE2W/GBP2/SKP2/LAMP1/CAV1/EIF4E2/SLC22A5/STMP1/APOBEC3D/CYBB/IFITM1/PLSCR1/ITCH/LGALS3/CFI/NQO1/DTX4/YWHAZ/TRIM5/CSF1R/NPLOC4/IFIT1/SNCA/A2M/CARD8/VIM/CCL24/UBE2L6/PARP1/IFI16/RNF19B/TMEM126A/CITED1/OPTN/CLEC7A/DUSP10	79
GO:0071396	cellular response to lipid	56/1033	303/8616	5.486544777204154e-4	0.03233515191309873	0.028742357256087762	PAQR7/CNOT9/CALR/PDCD4/NKX3-1/BCL10/ABCA1/WNT5A/STC1/ASS1/EIF4E/REST/STRN3/HMGB1/COL1A1/AXL/PTCH1/EFNA5/CPT1A/FDX1/CCL2/LCOR/LY96/CD68/GBP2/SKP2/YWHAH/SOX9/DDX5/HNRNPU/H2AZ1/TBXA2R/IRS1/XBP1/FOXP1/PCK2/IGF1R/TRIM5/MGST1/DAXX/RXRA/CARD8/VIM/PIAS2/CFLAR/ADTRP/PDK4/PARP1/GNG2/ATP1A1/LDLR/SGK1/MGARP/TFPI/INSIG1/TEAD2	56
GO:1902644	tertiary alcohol metabolic process	7/1033	14/8616	5.577583853837165e-4	0.03233515191309873	0.028742357256087762	REST/SULT1C4/H6PD/AKR1A1/CBR4/WNT4/AKR1B10	7
GO:0007265	Ras protein signal transduction	40/1033	198/8616	5.630317531808174e-4	0.03233515191309873	0.028742357256087762	CDC42/ABCA1/TP53/ARF6/RASGEF1B/CDC42SE2/RAP2B/SQSTM1/G3BP1/RHOB/ARHGAP1/RAB12/FLCN/SYNJ2BP/G3BP2/RAP2C/IQGAP3/DOCK5/GABARAP/CDC42EP4/GRB2/RAB21/DHCR24/PDPN/OGT/ROBO1/CDK2/MRAS/IGF1/RIT1/AUTS2/CUL3/OPHN1/RAP2A/ARHGAP20/RALA/DBNL/RAB33B/COL3A1/SHOC2	40
GO:0071276	cellular response to cadmium ion	9/1033	22/8616	5.727185426715636e-4	0.03233515191309873	0.028742357256087762	MT1X/MT1F/MT1E/MT1G/CYBB/MT3/MT2A/DAXX/HMOX1	9
GO:1904385	cellular response to angiotensin	9/1033	22/8616	5.727185426715636e-4	0.03233515191309873	0.028742357256087762	PPP3CA/NONO/RAP1GDS1/ARID1B/CAV1/IGF1R/SLC30A10/AHCYL1/DDR2	9
GO:0050673	epithelial cell proliferation	44/1033	224/8616	5.733955109169023e-4	0.03233515191309873	0.028742357256087762	GPC3/CTNNB1/CDC42/B4GALT1/NKX3-1/WNT5A/SOX11/SRSF6/HMGB1/ARNT/PTCH1/NFIB/TWIST1/FLCN/NUPR1/SYNJ2BP/SEMA5A/RREB1/IQGAP3/CCL2/EPPK1/ITGB3/ROBO1/CAV1/SOX9/EMC10/LIPA/UHRF1/IGF1/KDM5B/XBP1/ACVR2A/MCC/B2M/CFLAR/CCL24/SPARC/F3/HMOX1/CD34/NEAT1/VEGFB/ST8SIA1/DUSP10	44
GO:0032350	regulation of hormone metabolic process	8/1033	18/8616	6.005081099566175e-4	0.033027946047613964	0.029358174264545747	REST/ARNT/RDH10/EGR1/H6PD/IGF1R/WNT4/ATP1A1	8
GO:0070306	lens fiber cell differentiation	8/1033	18/8616	6.005081099566175e-4	0.033027946047613964	0.029358174264545747	ATF4/SKIL/NF2/SLC7A11/KDM5B/PLAAT3/VIM/MAF	8
GO:0061448	connective tissue development	29/1033	130/8616	6.097151571170105e-4	0.03310800954913789	0.029429341821455905	CTNNB1/WNT5A/STC1/COL1A1/NFIB/FTO/PBXIP1/TBL1XR1/EGR1/FOSL2/GLG1/LNPK/NFIA/ITGB3/SOX9/TRPS1/ACTA2/LIPA/ARRDC3/CHSY1/PLAAT3/XBP1/CFLAR/MAF/PARP1/CD34/COL3A1/SLC39A14/ZNF516	29
GO:0048144	fibroblast proliferation	19/1033	72/8616	6.168271139345555e-4	0.03310800954913789	0.029429341821455905	CTNNB1/IFI30/WNT5A/TP53/MORF4L1/PDGFC/TP53INP1/NUPR1/PDGFA/FOSL2/FTH1/ITGB3/CAV1/IGF1/GNG2/DDR2/COL3A1/PDGFRA/NDUFS4	19
GO:0042327	positive regulation of phosphorylation	61/1033	339/8616	6.500165494680276e-4	0.0340809866124636	0.03029421032218987	GPNMB/CCND2/CNOT9/BIRC5/NKX3-1/INSR/BCL10/DIPK2A/WNT5A/TP53/PDGFC/ADNP/DDX3X/CALM1/RAP2B/SQSTM1/AXL/MOB1A/S1PR2/EFNA5/FLCN/PDGFA/ITLN1/MMD/RAP2C/BAG4/IQGAP3/TXN/EGR1/CACUL1/ITGB3/FNIP1/ROBO1/PSMD10/CAV1/SOX9/FMR1/HAX1/IGF1/MT3/CDK2AP1/IRS1/IGF1R/CSF1R/ACVR2A/RASSF2/LRRK1/SNCA/CAMKK2/DAXX/RAP2A/HSP90AB1/ADTRP/IL6ST/PIN1/SEMA4D/DDR2/VEGFB/PDGFRA/PRNP/MRE11	61
