ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0006984	ER-nucleus signaling pathway	8/356	38/8616	1.2925338670313896e-4	0.016593460644682288	0.014637770109393596	DDIT3/TP53/TMED2/AMFR/ATF4/TMCO1/QRICH1/SPRING1	8
GO:0030335	positive regulation of cell migration	27/356	305/8616	1.461181295542137e-4	0.01813325987767792	0.015996089972250764	GPNMB/CALR/CDC42/PPP3CA/INSL3/JAM2/INSR/CARMIL1/ARF6/RIN2/WNT5A/COL1A1/ADAM10/MAZ/PDGFA/RREB1/RHOB/HMGB1/SOX9/TWIST1/SMURF2/PDPN/MYLK/MDM2/CAV1/LGALS3/BAG4	27
GO:0045667	regulation of osteoblast differentiation	11/356	72/8616	1.609772687947571e-4	0.019332850700738084	0.01705429808623573	CTNNB1/PPP3CA/SOX11/CRIM1/ATF4/IFITM1/RIOX1/JUND/SOX9/TWIST1/REST	11
GO:0006874	intracellular calcium ion homeostasis	15/356	125/8616	1.873281212183325e-4	0.021794456102995373	0.019225780861881495	DDIT3/CALR/FKBP1A/YWHAE/CALM1/LETM1/ATP1B1/WNT5A/ATF4/SLC30A1/STC1/TMCO1/RAP1GDS1/SMDT1/CAV1	15
GO:0071214	cellular response to abiotic stimulus	20/356	199/8616	2.0386066573732143e-4	0.022322742898236696	0.019691804244595754	CALR/CCND2/NUCKS1/BCL10/TP53/LETM1/TP53INP1/CASP2/COL1A1/ATF4/KCNJ2/CHP1/MFAP4/RHOB/SOX9/MYLK/REST/DDX3X/MDM2/MAP3K1	20
GO:0104004	cellular response to environmental stimulus	20/356	199/8616	2.0386066573732143e-4	0.022322742898236696	0.019691804244595754	CALR/CCND2/NUCKS1/BCL10/TP53/LETM1/TP53INP1/CASP2/COL1A1/ATF4/KCNJ2/CHP1/MFAP4/RHOB/SOX9/MYLK/REST/DDX3X/MDM2/MAP3K1	20
GO:0051235	maintenance of location	20/356	200/8616	2.181034024584648e-4	0.023142211035238627	0.02041469059472257	FTL/NPC2/DDIT3/CALR/FKBP1A/PLIN2/SQLE/CALM1/LETM1/TMED2/CPT1A/TXN/CDS2/TBCCD1/MSR1/HK2/ABCA1/G3BP2/CAV1/FTO	20
GO:2000147	positive regulation of cell motility	27/356	313/8616	2.2377641613445892e-4	0.023142211035238627	0.02041469059472257	GPNMB/CALR/CDC42/PPP3CA/INSL3/JAM2/INSR/CARMIL1/ARF6/RIN2/WNT5A/COL1A1/ADAM10/MAZ/PDGFA/RREB1/RHOB/HMGB1/SOX9/TWIST1/SMURF2/PDPN/MYLK/MDM2/CAV1/LGALS3/BAG4	27
GO:0060070	canonical Wnt signaling pathway	18/356	172/8616	2.5575887694838264e-4	0.025554734871366704	0.02254287651403484	CTNNB1/DDIT3/GPC3/FRMD8/AMFR/WNT5A/COL1A1/PPM1A/UBE2B/CSNK1A1/SOX9/TBL1XR1/ADNP/KPNA1/SMURF2/DDX3X/CAV1/PFDN5	18
GO:0008285	negative regulation of cell population proliferation	35/356	455/8616	2.6083264171687746e-4	0.025554734871366704	0.02254287651403484	GPNMB/IFI30/CTNNB1/PDCD4/PIM2/PPP3CA/TP53/GPC3/INSL3/SOX11/CTBP1/NUPR1/TP53INP1/B4GALT1/PTPRS/ARF6/NKX3-1/SLIT2/WNT5A/DHCR24/IFITM1/ITM2C/SOX9/GDI2/MDM4/UTP20/IGFBP7/ING1/PDS5B/PDPN/REST/SDC4/DLG5/MDM2/CAV1	35
GO:0009306	protein secretion	18/356	173/8616	2.7489437620889653e-4	0.025585794065643045	0.022570275099256774	CYP51A1/HMGCR/AP1G1/PPP3CA/PDIA4/ARF6/TMED2/CPT1A/SLC12A2/SLC16A1/CANX/RAB12/RAB3B/ABCA1/RAP1GDS1/REST/MPC2/RAB3D	18
GO:0035592	establishment of protein localization to extracellular region	18/356	173/8616	2.7489437620889653e-4	0.025585794065643045	0.022570275099256774	CYP51A1/HMGCR/AP1G1/PPP3CA/PDIA4/ARF6/TMED2/CPT1A/SLC12A2/SLC16A1/CANX/RAB12/RAB3B/ABCA1/RAP1GDS1/REST/MPC2/RAB3D	18
GO:0055074	calcium ion homeostasis	15/356	132/8616	3.4240696608883335e-4	0.031087560442402552	0.027423608176851143	DDIT3/CALR/FKBP1A/YWHAE/CALM1/LETM1/ATP1B1/WNT5A/ATF4/SLC30A1/STC1/TMCO1/RAP1GDS1/SMDT1/CAV1	15
GO:0071280	cellular response to copper ion	5/356	16/8616	3.507057584155002e-4	0.031087560442402552	0.027423608176851143	MT1X/MT1F/MT1E/MT1G/MT2A	5
GO:0071692	protein localization to extracellular region	18/356	177/8616	3.6446861951653297e-4	0.03140214960488416	0.027701120140022503	CYP51A1/HMGCR/AP1G1/PPP3CA/PDIA4/ARF6/TMED2/CPT1A/SLC12A2/SLC16A1/CANX/RAB12/RAB3B/ABCA1/RAP1GDS1/REST/MPC2/RAB3D	18
GO:0044283	small molecule biosynthetic process	27/356	323/8616	3.71123981363122e-4	0.03140214960488416	0.027701120140022503	MSMO1/HMGCS1/SCD/IDI1/EBP/CYP51A1/FDPS/HMGCR/ASAH1/FDFT1/DHCR7/SHMT2/ACLY/NSDHL/SC5D/PSAT1/ASS1/ACAA2/DHCR24/H6PD/TM7SF2/ATF4/DSEL/PTS/REST/ELOVL6/SERINC5	27
GO:0099173	postsynapse organization	12/356	93/8616	4.1776625922473556e-4	0.03456319517985979	0.030489607690787724	ACTB/CDC42/INSR/PTPRS/ARF6/WNT5A/ADAM10/ARF4/ZDHHC2/EZR/CTTN/DLG5	12
GO:0090090	negative regulation of canonical Wnt signaling pathway	10/356	69/8616	4.929098547605051e-4	0.039103325663162505	0.03449464242732009	CTNNB1/DDIT3/GPC3/FRMD8/AMFR/WNT5A/CSNK1A1/SOX9/CAV1/PFDN5	10
GO:0034333	adherens junction assembly	4/356	10/8616	4.936492898653339e-4	0.039103325663162505	0.03449464242732009	CTNNB1/ACTB/HIPK1/DLG5	4
GO:0016055	Wnt signaling pathway	22/356	247/8616	5.51346065638121e-4	0.04104356506011402	0.03620620693203154	CTNNB1/DDIT3/CDC42/SHISA2/GPC3/FRMD8/AMFR/WNT5A/COL1A1/PPM1A/UBE2B/PBXIP1/CSNK1A1/SOX9/TBL1XR1/ADNP/KPNA1/SMURF2/DDX3X/AMOTL1/CAV1/PFDN5	22
GO:0198738	cell-cell signaling by wnt	22/356	247/8616	5.51346065638121e-4	0.04104356506011402	0.03620620693203154	CTNNB1/DDIT3/CDC42/SHISA2/GPC3/FRMD8/AMFR/WNT5A/COL1A1/PPM1A/UBE2B/PBXIP1/CSNK1A1/SOX9/TBL1XR1/ADNP/KPNA1/SMURF2/DDX3X/AMOTL1/CAV1/PFDN5	22
GO:0019915	lipid storage	9/356	58/8616	5.619354690311402e-4	0.04104356506011402	0.03620620693203154	NPC2/PLIN2/SQLE/CPT1A/CDS2/MSR1/ABCA1/CAV1/FTO	9
GO:0030177	positive regulation of Wnt signaling pathway	11/356	83/8616	5.729079682920515e-4	0.04104356506011402	0.03620620693203154	GPC3/WNT5A/COL1A1/PPM1A/UBE2B/PBXIP1/TBL1XR1/ADNP/SMURF2/DDX3X/CAV1	11
GO:2000243	positive regulation of reproductive process	7/356	36/8616	5.732649430904994e-4	0.04104356506011402	0.03620620693203154	CTNNB1/INSR/WNT5A/UBE2B/DMRT1/SOX9/SMURF2	7
GO:0009948	anterior/posterior axis specification	6/356	27/8616	6.75070169960597e-4	0.046542337828950044	0.04105689922567374	CTNNB1/DDIT3/RNF2/GPC3/TMED2/WNT5A	6
GO:0031952	regulation of protein autophosphorylation	6/356	27/8616	6.75070169960597e-4	0.046542337828950044	0.04105689922567374	GPNMB/CALM1/CHP1/PDGFA/DDX3X/CAV1	6
GO:0051050	positive regulation of transport	34/356	462/8616	7.132681504796864e-4	0.04828176953156132	0.04259132305256692	CALR/ACTB/YWHAE/AP1G1/ITLN1/CDC42/PPP3CA/CALM1/GPC3/ATP1B1/SOX11/INSR/ARF6/NKX3-1/WNT5A/PPM1A/SLC12A2/ATF4/KCNJ2/ZDHHC2/STC1/CHP1/SAR1A/EZR/RAB3B/ABCA1/LAMP1/MYLK/SDC4/MDM2/CAV1/LGALS3/MPC2/RAB3D	34
GO:0086011	membrane repolarization during action potential	4/356	11/8616	7.505730728904865e-4	0.049899706256630025	0.04401857119207365	YWHAE/ATP1B1/KCNJ2/CAV1	4
