logFC	AveExpr	t	P.Value	adj.P.Val	B	ENSEMBL	contrast	direction
-1.1910883226433933	1.8771104318085292	-6.984210776170795	2.377294066769774e-5	7.267941782315275e-4	2.8219740651101617	ENSG00000127586	Merge_vs_Mock	Down
-1.5430540277036302	4.056552353451502	-6.982775991189703	2.381738151754718e-5	7.267941782315275e-4	2.820033168845457	ENSG00000170558	Merge_vs_Mock	Down
-1.4737143878670143	3.075783029156628	-6.972816030824369	2.412834858614622e-5	7.311029091825346e-4	2.806552361846311	ENSG00000205476	Merge_vs_Mock	Down
-1.1294677280432366	1.4572667550121927	-6.955098857847189	2.4692330354986107e-5	7.424335867072685e-4	2.7825395854255124	ENSG00000141505	Merge_vs_Mock	Down
-1.1705425035086767	4.5091545134206905	-6.93327015593159	2.5406717173580536e-5	7.502817947560725e-4	2.75289684701389	ENSG00000167775	Merge_vs_Mock	Down
-1.6143955166494033	5.427076609570068	-6.933043982533462	2.541423421287185e-5	7.502817947560725e-4	2.7525893777907164	ENSG00000134871	Merge_vs_Mock	Down
-1.4293005155937197	3.327446309646493	-6.932592762039766	2.542923798836237e-5	7.502817947560725e-4	2.751975950105326	ENSG00000184363	Merge_vs_Mock	Down
-1.2964486950950806	1.8282805078542699	-6.92814633996594	2.5577597681843673e-5	7.511718843181338e-4	2.745929651840841	ENSG00000123080	Merge_vs_Mock	Down
-1.0321787151213953	0.9121869135816298	-6.921708537500469	2.5794050037780035e-5	7.511718843181338e-4	2.737170776075251	ENSG00000092853	Merge_vs_Mock	Down
-1.3115901252938102	2.7741047506445478	-6.921482399296495	2.580168891769404e-5	7.511718843181338e-4	2.7368630058586607	ENSG00000101447	Merge_vs_Mock	Down
-1.7450647669146866	3.5036169233007084	-6.919069378385335	2.588335133286095e-5	7.511718843181338e-4	2.733578500686102	ENSG00000249835	Merge_vs_Mock	Down
-1.0501532898532728	3.1093109390637874	-6.916781199792794	2.5961044985587898e-5	7.511718843181338e-4	2.730463207582014	ENSG00000101665	Merge_vs_Mock	Down
-1.018860735060711	4.426524285207253	-6.910463309504097	2.6176867051218256e-5	7.553346995366207e-4	2.7218579400090377	ENSG00000171492	Merge_vs_Mock	Down
-1.8492812400256868	2.42342185207923	-6.884544455534424	2.7082625521476775e-5	7.757766283255806e-4	2.6864993650780047	ENSG00000185483	Merge_vs_Mock	Down
-3.4807560630125423	4.620921306905886	-6.8528956446825955	2.8234460550590778e-5	8.000272551686317e-4	2.6432019208877833	ENSG00000145920	Merge_vs_Mock	Down
-1.078439106722151	3.399740695935108	-6.848137394380016	2.8412129636710592e-5	8.036135803361704e-4	2.6366807270269046	ENSG00000245694	Merge_vs_Mock	Down
-1.1848621119531102	4.262088178967417	-6.84002764195919	2.871771040280327e-5	8.107984089667581e-4	2.625559278236521	ENSG00000040275	Merge_vs_Mock	Down
-1.2230837540197301	3.5369966530878876	-6.832051792291165	2.9021686156735866e-5	8.129862345779805e-4	2.614612832180681	ENSG00000165304	Merge_vs_Mock	Down
-2.06543725638262	6.062958440714642	-6.8316356243643	2.9037641594494597e-5	8.129862345779805e-4	2.6140414280070807	ENSG00000112081	Merge_vs_Mock	Down
-1.5337878243069423	1.1114630258400735	-6.831217386754994	2.9053685859902395e-5	8.129862345779805e-4	2.613467158647307	ENSG00000198774	Merge_vs_Mock	Down
-1.0995605893974405	1.754920114315761	-6.827554011385621	2.9194625839197474e-5	8.154790158920417e-4	2.608436082833924	ENSG00000140479	Merge_vs_Mock	Down
-1.2752280388529011	3.3674787942908417	-6.816351009762699	2.96302043314241e-5	8.211427127810677e-4	2.5930392897637713	ENSG00000168502	Merge_vs_Mock	Down
-2.062629888046658	4.212862668418782	-6.8097046590804124	2.989190756575465e-5	8.232576854274215e-4	2.583896915654492	ENSG00000101871	Merge_vs_Mock	Down
-1.4045636230885097	1.7650518902455419	-6.782929773971227	3.0971560375409926e-5	8.391276478023907e-4	2.547006407005334	ENSG00000160957	Merge_vs_Mock	Down
-1.0074372319088303	1.2111663491762883	-6.779393162981003	3.111726577669914e-5	8.391276478023907e-4	2.5421264149789273	ENSG00000172244	Merge_vs_Mock	Down
-1.3920764229972766	5.1573356362969465	-6.775235720008434	3.1289489342644996e-5	8.391276478023907e-4	2.53638760557725	ENSG00000164574	Merge_vs_Mock	Down
-1.1873379912833844	1.8082233806155856	-6.750550606867263	3.2333356653364045e-5	8.533607107935872e-4	2.5022648396187144	ENSG00000278903	Merge_vs_Mock	Down
-1.119799680031334	2.706974875020445	-6.747919362296362	3.244680738956679e-5	8.533607107935872e-4	2.4986227453635674	ENSG00000101003	Merge_vs_Mock	Down
-1.3910383291814643	4.113938296228958	-6.7446019186522435	3.259045335378474e-5	8.54195782402698e-4	2.4940294960557807	ENSG00000008256	Merge_vs_Mock	Down
-1.2991930977383026	5.419342567872407	-6.741974226327167	3.270471677848412e-5	8.54342817372826e-4	2.4903901999247573	ENSG00000099812	Merge_vs_Mock	Down
-1.2372876825844732	2.866845541801575	-6.729700392852271	3.324415324354799e-5	8.641281882777449e-4	2.473378802910279	ENSG00000196550	Merge_vs_Mock	Down
-1.4760119439735626	2.745805216918727	-6.726902054106512	3.336847082653869e-5	8.657459593742624e-4	2.469497473862223	ENSG00000180581	Merge_vs_Mock	Down
-1.434355779619544	4.90625706960189	-6.725229333814287	3.3443020141257245e-5	8.657459593742624e-4	2.46717688313381	ENSG00000166508	Merge_vs_Mock	Down
-1.573867452043689	4.0094519796432015	-6.714595069960641	3.3921159900704395e-5	8.730673659549548e-4	2.452414913880654	ENSG00000185238	Merge_vs_Mock	Down
-1.1260882395892957	1.682315475653502	-6.703697972784034	3.4418726952006805e-5	8.802843453559701e-4	2.4372721432059627	ENSG00000266969	Merge_vs_Mock	Down
-1.7841422879425237	3.2067035706189433	-6.682470843609468	3.541057088264992e-5	8.99623001131749e-4	2.4077281969338955	ENSG00000187098	Merge_vs_Mock	Down
-1.315580885148972	1.5471267780819096	-6.676731207972982	3.568398698792125e-5	9.036495642061991e-4	2.3997292200360985	ENSG00000136883	Merge_vs_Mock	Down
-1.4279990116616	1.2060507405642114	-6.647107984035855	3.713156565187579e-5	9.313797613339798e-4	2.358373680727576	ENSG00000183395	Merge_vs_Mock	Down
-1.3670901661164772	3.732077480584526	-6.635263330792698	3.7727868991245376e-5	9.417594726290869e-4	2.3418043822998627	ENSG00000177425	Merge_vs_Mock	Down
-1.3873147865835902	2.07429129643111	-6.620472744610521	3.848692433183574e-5	9.561538262913883e-4	2.321087111244756	ENSG00000185697	Merge_vs_Mock	Down
-1.3283331952577129	5.854897007569656	-6.611914559529358	3.893359059312249e-5	9.64204166405424e-4	2.3090859210547006	ENSG00000198517	Merge_vs_Mock	Down
-1.4298738742318662	3.3652403836195983	-6.599000091371243	3.96181635451094e-5	9.774972561134327e-4	2.2909568826303683	ENSG00000188486	Merge_vs_Mock	Down
-1.1984289167163125	5.553167679375206	-6.59827786548044	3.965682623682882e-5	9.774972561134327e-4	2.2899423627695192	ENSG00000117632	Merge_vs_Mock	Down
-2.060329976552545	2.9121310726171674	-6.587581538708498	4.023418562949948e-5	9.867915282105475e-4	2.274908714969502	ENSG00000105810	Merge_vs_Mock	Down
