entrez_final	symbol	ensgene	log2FoldChange	padj	description
1896	EDA	ENSG00000158813	6.891020355643191	5.0903330134728805e-18	ectodysplasin A
2462	FRA16C	NA	1.0715061632155753	5.3066272375628984e-18	fragile site, aphidicolin type, common, fra(16)(q22.1)
632	BGLAP	ENSG00000242252	-1.120956301395735	5.6981967132738355e-18	bone gamma-carboxyglutamate protein
6056	RNR5	NA	-1.2416046852138407	6.858249270402328e-18	RNA, ribosomal 45S cluster 5
4047	LSS	ENSG00000160285	2.3263836686451946	7.038557435131592e-18	lanosterol synthase
105	ADARB2	ENSG00000185736	6.263228666319048	7.675859262640058e-18	adenosine deaminase RNA specific B2 (inactive)
2246	FGF1	ENSG00000113578	1.6580103524608067	7.830370869161769e-18	fibroblast growth factor 1
8523	NA	NA	-1.858640642054971	8.202871843825667e-18	NA
5666	NA	NA	-2.082479050242559	9.01446091944208e-18	NA
9775	EIF4A3	ENSG00000141543	-3.3646288531254855	9.514933385313952e-18	eukaryotic translation initiation factor 4A3
3978	LIG1	ENSG00000105486	1.3597387520727784	9.687440094460354e-18	DNA ligase 1
5797	PTPRM	ENSG00000173482	-2.3553816568971855	1.0054352930762613e-17	protein tyrosine phosphatase receptor type M
9296	ATP6V1F	ENSG00000128524	-1.4849970541805737	1.0408752357550441e-17	ATPase H+ transporting V1 subunit F
9255	AIMP1	ENSG00000164022	4.46911094114208	1.0971169050602401e-17	aminoacyl tRNA synthetase complex interacting multifunctional protein 1
2306	FOXD2	ENSG00000186564	1.1210247622858247	1.2064207338361798e-17	forkhead box D2
3838	KPNA2	ENSG00000182481	-1.0449796752079352	1.9317062762790535e-17	karyopherin subunit alpha 2
813	CALU	ENSG00000128595	-2.658400973204416	1.9823869100150914e-17	calumenin
4366	NA	NA	-1.6470411350007372	2.1162901335253218e-17	NA
3282	NA	NA	2.660265445991059	2.2955954043385508e-17	NA
4538	ND4	ENSG00000198886	-1.6849813717087332	3.231034430886324e-17	NADH dehydrogenase subunit 4
11274	USP18	ENSG00000184979	1.74234089043941	3.4810299474576846e-17	ubiquitin specific peptidase 18
5300	PIN1	ENSG00000127445	-1.432249895520064	3.491992021152948e-17	peptidylprolyl cis/trans isomerase, NIMA-interacting 1
9906	SLC35E2A	NA	-1.6770008550821989	3.526122132196883e-17	solute carrier family 35 member E2A (pseudogene)
4349	NA	NA	3.3249254797929324	4.2534789321471004e-17	NA
1715	NA	NA	3.3922265139850913	4.367113698956388e-17	NA
6679	NA	NA	1.6945836011038815	4.676709338558988e-17	NA
1444	CSHL1	ENSG00000204414	1.311105531487555	5.390710731002719e-17	chorionic somatomammotropin hormone like 1
2039	DMTN	ENSG00000158856	1.2791133425213241	7.089921498430894e-17	dematin actin binding protein
238	ALK	ENSG00000171094	1.5177310313976136	7.371812473598201e-17	ALK receptor tyrosine kinase
718	C3	ENSG00000125730	2.879965725462872	8.08855077900317e-17	complement C3
10510	NA	NA	4.203664407036298	8.204708735520179e-17	NA
5884	RAD17	ENSG00000152942	1.0634130787667857	8.745437786136822e-17	RAD17 checkpoint clamp loader component
6963	NA	NA	-1.433316332835518	9.010609348976252e-17	NA
1588	CYP19A1	ENSG00000137869	2.6785477887480944	1.2604274692085298e-16	cytochrome P450 family 19 subfamily A member 1
8999	CDKL2	ENSG00000138769	-1.2819192012454577	1.3322682752239594e-16	cyclin dependent kinase like 2
1449	NA	NA	3.480716824705596	1.4069783504646937e-16	NA
225	ABCD2	ENSG00000173208	-1.0121559544999723	1.6317263065504396e-16	ATP binding cassette subfamily D member 2
1403	NA	NA	-1.9994345665776474	1.7035381675677743e-16	NA
4996	NA	NA	1.4279163256732517	1.7558067864526039e-16	NA
1419	CRYGB	ENSG00000182187	1.0077237584175458	1.8291964617699283e-16	crystallin gamma B
7633	ZNF79	ENSG00000196152	-3.0654182304527415	1.8730472647896386e-16	zinc finger protein 79
3682	ITGAE	ENSG00000083457	1.3650655438395185	2.1943716958886866e-16	integrin subunit alpha E
4087	SMAD2	ENSG00000175387	2.6225825288282265	2.2346888471134235e-16	SMAD family member 2
3631	INPP4A	ENSG00000040933	2.1487654894534494	2.29029610705587e-16	inositol polyphosphate-4-phosphatase type I A
10471	PFDN6	ENSG00000204220	2.363833701892308	2.3856323695362013e-16	prefoldin subunit 6
8606	NA	NA	1.8518508083607936	2.512661451781068e-16	NA
6910	TBX5	ENSG00000089225	1.2860998236318453	2.768057475021142e-16	T-box transcription factor 5
2011	MARK2	ENSG00000072518	2.3755335329494454	3.094160701094032e-16	microtubule affinity regulating kinase 2
4480	NA	NA	2.325999850926247	3.1612260591826434e-16	NA
9658	ZNF516	ENSG00000101493	1.6962554535422973	3.238019002487095e-16	zinc finger protein 516
5110	PCMT1	ENSG00000120265	1.9893909309686928	4.804693150740934e-16	protein-L-isoaspartate (D-aspartate) O-methyltransferase
11162	NUDT6	ENSG00000170917	3.9750631640122194	5.275620938050453e-16	nudix hydrolase 6
2096	ESAT	NA	2.2180565388095848	5.565346464500097e-16	esterase activator
