"","GSM1399027_LIliana_06-29-12-90609_Veh.CEL.gz","GSM1399028_LIliana_06-29-12-100609_CBD.CEL.gz","GSM1399029_LIliana_06-29-12-11CC4121_Veh.CEL.gz","GSM1399030_LIliana_06-29-12-12CC4121_CBD.CEL.gz","GSM1399031_Liliana_10-20-2011-84121T3_VEH.CEL.gz","GSM1399032_Liliana_10-20-2011-94121T3_CBD.CEL.gz"
"8168375",6.66479747940693,6.76563237555408,6.96502669381901,6.85517882907129,7.07661906657393,7.09376560440252
"8168387",6.72460042895477,6.82412464081929,6.8873609348465,6.81783745249192,6.88597367363204,6.6678235287275
"8168391",6.80460655583666,6.66282426916525,6.79661480996413,6.8506076294394,6.89399527204596,6.7781834850239
"8168393",7.02504864006051,6.97464223360166,7.22021904943721,7.12774865879385,6.8689099685215,6.70301131555579
"8168395",6.07974823822692,5.76198897901729,6.10719655504681,5.77557889071964,5.60875988397888,5.33318167888524
"8168399",8.60625025813998,8.58998007878455,9.09328697010999,9.00290503494936,8.18867333783346,8.13511041834127
"8168408",5.97746521098179,5.76909059832511,5.66602619597878,5.49482291753034,5.75269230168785,5.6277146930236
"8168412",7.20670963693097,7.25933848660295,7.04542913203698,7.23907127981211,7.61984441971561,7.71353222321947
"8168416",12.349167557441,12.163695549189,11.6696687257879,11.7712427419314,11.4882635678815,11.7375954965696
"8168420",6.04880545143165,6.47382383829719,6.23276115253145,6.25978024443146,5.99884807589639,5.88487699280566
"8168422",4.28319926308275,4.1171368956672,4.68409230743483,4.65478490413191,4.22555980334035,4.19834930399611
"8168424",10.1009720528021,10.1292852132135,10.1732198949141,9.47724248145875,10.1082677613425,9.90275286771364
"8168432",7.27593366867409,7.34115969109317,7.32245294099159,7.23767226634435,8.18036697281343,8.64159537767537
"8168434",2.93991328506996,2.65738184761018,2.81386733289736,2.68060525831789,2.89435242325748,3.20000840101571
"8168436",4.12012784991279,3.18280931030529,3.99168688469424,3.51282712315449,4.06408587651492,3.58765038391045
"8168438",8.51647721206166,8.39172835951935,7.87824550692296,7.84337783655975,8.14638940183736,8.29555703887601
"8168447",8.67414673691364,8.70051937508025,8.51818535049967,8.41759689785187,8.7532520420746,8.93584939380593
"8168456",4.65262002718307,4.4773469994128,4.06839223023621,4.33062377322715,4.67330965078675,4.4729564554234
"8168458",7.63156284885444,7.68792831366704,8.04636366394237,7.55862776496185,8.4151110590849,8.14390949321403
"8168461",5.87245767812462,5.99703375850561,6.08149553154655,6.4161232440585,5.90168465222764,5.66693528932907
"8168463",5.87310822827792,5.40499282064947,5.40692786274231,5.77120379678863,5.1126303432448,5.11809932301312
"8168466",3.6709357800355,3.62166070399972,3.34253449635651,3.36729787785608,4.01469560063216,5.17663823299382
"8168468",2.29296765348198,2.32849305465334,2.46362881417675,2.44272776649934,2.25258895948871,2.32414816624655
"8168470",9.88690403163455,9.4640722218006,7.8976172889493,7.55159616416859,8.71982166593912,9.24631339836523
"8168472",9.08156995564907,9.23792841602868,9.53259945840677,9.75153621791049,9.28652322937016,9.36209129074699
"8168500",12.9816749593918,12.9347573238665,12.0942371058675,11.9221736540696,11.654684096127,11.6325265472665
"8168517",10.2340011755812,9.47759141148498,10.4710974330744,8.1446450832285,9.65449677521005,8.15015006491656
"8168524",4.45330603239116,4.66747689446343,4.19729916187747,4.48616564595922,4.19711316515281,4.4259751387133
