gene_id,log2FoldChange
MTMR11,-1.53826022398356
MPC2,-0.5979305551144831
LRPPRC,-0.8151098913033192
UROD,0.4537785130536297
GXYLT2,-1.4597019786212315
NFYA,-1.6520863405941009
PER2,-1.6729756432566325
ERCC2,-1.5028065047110757
SHOC2,-0.8394088562127783
UBE2G1,-1.2558568200868636
RUFY2,-1.3860297621551982
TRAPPC2L,0.3157808349974272
PARP14,-1.3674952654026775
IGFBPL1,-1.5156937129788697
CD164,0.3704939807474808
EEF1G,0.1775531920618422
ENAH,-0.8556669682108848
H3-3B,0.2606782485478033
TMEM107,-0.8900803971636034
CHMP1B,-0.7356411500866965
SYNJ2BP,-0.6985775104535356
TPI1,0.2468930311509778
HMGN2,-0.50216249828806
NDUFS5,0.2052084584902858
GSTA1,0.2445583884211156
TK2,-1.6515944719858997
RMND5A,-0.9007994371636736
MSANTD3,-1.169822771534896
TNFAIP2,-1.904488721975626
SLC25A5,0.3078407427770912
GHITM,0.3662725186714676
ACTG1,0.2572371509702622
MSMO1,-0.5536662532939371
ANXA7,-0.5899119489906494
CACNB2,-2.207589364803249
SEPSECS,2.2279506277237022
CRIPT,-0.7341973957037218
MFSD14B,-1.1802788746885822
RAD52,-2.239451540679537
STMP1,-0.6774697719610108
LIMCH1,-1.0942628114923294
MYCT1,-1.4577368249791527
CDK2,-1.2963174525293146
HIF1AN,-0.9141738400272272
DNAJB4,-0.7742054321941365
PBXIP1,-1.2080974958848614
PIKFYVE,-1.2610323761894615
RPL23,-0.6827620284526092
RNF152,-2.0297207441983622
MPV17L,-1.7365074215207918
SOX9,-0.7847550549014385
PSMD13,0.36836157995805
TBC1D24,-1.677737971838166
TAF8,-1.4523419250340226
HYOU1,-1.2411864923841955
RPL3,0.2525840388281308
BTBD9,-1.6596953897765163
UBE2W,-0.7911254026574053
SAMD12,-1.860962805827386
ZNF717,-1.9974318587952773
EMG1,0.4865127507525602
TTTY15,-0.8231235842416635
LIX1L,-1.032497917298624
OTUD1,-1.758315838786383
TBXA2R,-2.472857857964857
CALM2,0.339018343294935
PRDX2,0.3081830704162313
HMGN3,0.3065714338252635
PSMD10,0.5063252137512173
SRP9,0.2684237200714078
ZNF516,-1.4412663018173817
MRPL51,0.2619081065106114
CCDC58,-1.0933573754975272
AUTS2,-1.5780455265977693
USP7,-1.01138881996541
SOX12,-1.4781520557192198
GUCD1,-0.8577543648604842
NABP1,-1.2283437842072331
ALYREF,-1.5873551983664294
ACBD7,-2.246999592090276
MDM2,-0.7731019010165855
POGZ,-1.0815708682268166
DDX1,0.6442715691057792
ITPRIPL2,-0.9541334904465368
SOAT1,-0.8385499420394483
TFCP2L1,-1.905645581666937
NDUFB9,0.2033387332445847
BICC1,-1.2812805354959889
SARNP,0.412611245468251
NDUFA6,0.3952830216108906
CASP10,-1.6892040188295876
ZBTB10,-1.0193577201415291
LAMTOR2,0.4531379514146973
PIK3C2B,-2.0665463335594265
PTMA,0.1392786305769698
MRE11,-1.0784501208743884
ZNF557,-1.364945922965612
SMAD2,-0.6665318499797103
KCTD9,-1.0219470636385442
NANOG,-0.8862603252225277
ATXN7,-1.6043075496189183
SNRPB,-0.7532662665138493
COLGALT1,-0.9810260525832082
ZNF641,-1.358213667041513
ROMO1,0.3108779483220384
SELENOK,0.3860284974447322
SLC2A4,-2.2618195753151986
H2AZ1,0.3304164698603599
LRP2,-2.1581130275423988
LRRC47,-1.1141818200466245
ZCCHC3,0.8314669432234869
C4orf3,0.2979886067125154
IGF2BP1,-1.3326654116483152
NDUFA1,0.2516802491107361
PFDN1,0.3434838494693563
RFLNB,-1.7071892626099043
EIF6,0.3485511065232347
TRIM5,-0.9661822114577862
DHX8,-0.919125046934941
IRS1,-1.5597185802572398
SNX18,-0.7634161652010959
PXDC1,-1.4027322708772432
RNF149,-1.1568849173664446
FAM53B,-1.995485519708386
LCLAT1,-1.0095734295905772
ITGB3,-1.757477403013047
CNDP2,0.618560856730307
YWHAZ,-0.3201462315046063
CKAP4,-0.5949962713465801
RPL34,0.2162614187341513
FAM210A,-0.9753985316175136
PLCB3,-2.1161932314399965
DDOST,0.4217825811246951
PSMD12,-0.9144747112286788
OSER1-DT,-0.9426659715945856
PSMD2,0.6528005224421713
ZNF284,-1.264412764505917
ITCH,-0.7405158631882116
SLX4IP,-1.190377208241714
RPLP0,0.136005734974359
PTGIS,-1.055883194645424
AGO2,-1.144233313207252
COX6B1,0.1840139824507821
LOC101927476,-1.3786206463913546
RASSF2,-0.9754065062194897
DCUN1D4,-1.002914063422604
UFC1,0.2711483605868058
MPRIP,-1.1153821225462155
PFDN5,0.2500579516054713
PEDS1,-1.3841954148366074
GNG2,0.5475872607943894
ANAPC16,0.2948747767738899
SLC35D1,-1.1055013809591985
CTDSPL2,-0.7147181450375707
CXADR,-0.614229496394647
SPTBN1,-0.7605518043150684
CPNE8,-1.4572700418973616
LARP1,-0.8695320448004736
NOP10,0.2957666432840712
SCP2,0.4392604309154911
HMGCL,0.5383926266144182
CALM1,-0.3095334734882139
ATP5MG,0.2587398683816138
GPI,-0.4248427102246733
NDUFA7,0.3264745263166865
GAL3ST4,-1.5335325679002585
SMDT1,-0.6126723951890186
ACP1,0.2924867961604077
TRIM45,-1.3211606286356132
PI15,-1.8817035598438556
ENO1,0.2420648218553475
ADGRL3,-1.3140648159621249
SPRR2F,0.6362817566264832
ZNF543,-1.7507981606155991
RPL15,0.2097773176360396
ARRDC3,-0.782505949400351
BEX5,0.8189646698385766
ATP5PD,0.2735670829004839
INPP5B,-1.379632756133678
COMMD9,0.4147526074486278
LAPTM4A,0.2015360999978926
NEDD8,0.3143527900098103
DAND5,-1.103858460530278
PRRG3,-1.592500887378441
DBI,0.3542444753656046
PDRG1,0.4345746162482545
IGFBP5,-0.8916258811226476
C16orf72,-0.9621731372213084
SRGAP1,-1.0188909226808247
GID8,-0.8748885015417004
ATP6V1G1,0.2029886880730876
XRCC6,0.331216881765613
TIMM8B,0.3727228818384031
EGLN3,-2.311511529802276
NUP43,-1.1015078835496857
PET100,0.392479025879732
MRPL36,0.3740011163096595
PSAP,0.3581853286502344
CDR2L,-1.334740327895096
ARL15,-0.9597534870114884
ASB7,-1.2800564683173747
NR6A1,-0.9467712049313084
WIPF3,-0.7609117771277542
FDX1,-0.7874395842936979
COX7A2L,0.2501276922927713
CLIC1,0.2741015622160438
SPARC,0.233739255812863
MRPL27,0.4151752462172769
SLC40A1,0.4745198851166678
STON2,-1.4205232936879268
UBB,-0.1706235849985422
RPS19,0.158716192495557
IDH1,0.4467249281997228
RAB3D,-1.0972889373082546
FMNL3,-0.9541264988211674
RPL36,0.1625056656902829
CBWD1,0.7348814830811027
PHF6,-0.692474219777717
PSMG3,-0.8239957652443122
SLIRP,0.2621340231228818
UQCC2,0.3184829171911694
ZBTB25,-1.3318650597900137
TLE3,-1.5035167713592923
PIN4,0.3999559695620869
SNRPD2,0.3143316734121921
GNL3L,-1.0258705553011769
SKP1,0.1963729128944477
PPP2R5E,-0.8850824811604834
LMBR1,-0.7421223978175182
PPP4C,-0.965288504165648
ZIK1,-1.4505174365181797
RPARP-AS1,-0.8905291118858533
CLPB,-1.2593042939094556
CCDC127,0.5878802061538513
DCTN5,0.6109356456992252
ELOVL6,-0.939084003021865
CCND1,-1.187734680438213
TMSB4X,0.2085524832383729
SULT1C4,-0.9731885715580144
SFXN3,-1.0145711651486606
ACTR6,0.7549925845321728
RPL35,0.1619656805463104
TRIM55,0.5735934649580777
ANXA5,0.2442322982978703
MRPL53,-0.4814712167280087
CC2D2A,0.9719391864803306
SEPTIN2,0.3604903240326335
GALNT2,-1.4136437557904895
MANSC1,-1.5089748080516263
PPP1R14C,-1.095818528339522
RNF13,0.4231694833983088
KARS1,0.3958024470900108
PAIP2,-0.5363667424074426
AGO3,-0.9843147698754564
POMGNT2,1.4243005674200206
FBLN1,-0.9582082301858544
FSCN1,-1.0271584547820716
NRIP2,-1.8605025187583315
THBS1,-1.356892473508057
GAN,-2.010215269215481
ORAI3,-1.000519811069559
EEF2,-0.4845055473353469
JPT1,-0.5852357827141608
PDHB,0.4740979345779408
ZNF252P,-1.2232299453313378
PFKM,0.4976309265610979
LOC339803,-0.8507435163194368
LDB1,-1.241108749728928
GOLPH3L,-0.5895156226948842
ROCK2,-1.0208780425669055
PLEKHA2,-0.7284274912115529
DYNC1I2,0.3022677443671143
EVI5,-0.8207407089620704
MIS18A,-0.7484792933467064
PRMT1,-0.6179873831618589
PSMB1,0.1819643571319931
TEAD2,-0.9752701906242044
PRPF19,-1.213985054536442
HCFC2,-1.230223369170817
PSMB5,0.1842928500277818
FCHSD2,-1.1129311863886846
HTRA1,1.6414062864136467
ZC3HAV1,-0.9297520912870174
IFITM2,0.2629820662331077
NAP1L1,-0.4075326876425082
BRD3,-0.9850510584394544
FAM104B,0.5631526100288654
TMEM184C,-0.7707597426379619
CUX1,-1.0412293508953712
GPM6B,-1.1307359924514515
NDUFB4,0.2103579497859002
SRP14,0.157195643945688
PTGFRN,-0.7327239879629779
RBPMS,1.114514537160074
AUNIP,-1.7645968408723056
DHDDS,-0.8982596680474476
MRPL35,0.6152136179460265
TWSG1,-1.0655891844617016
ZNF397,-1.0305229176311377
LRRC8A,-1.309699362120989
FAM117B,-1.00435007565234
EIF2S1,-0.5474811767577318
SUMO1,0.4194559614422943
TMEM134,-0.6826738054438899
SRPK1,-0.5807772299107662
FTL,0.1992219126648473
USP27X,-1.881492952792625
HSBP1,0.3104206629922381
B3GLCT,-1.1307780273743528
ATP6V1F,0.2468164145947862
NSRP1,0.5828557478655051
C19orf12,-0.9261151713265025
NOL9,-1.36535064641394
CBX6,-0.8783720281821052
FBXL20,-0.8710408924231975
PCID2,0.5128553162239824
NPLOC4,-1.4461692900224097
PRR13,0.6307987771882617
TRAPPC6B,-0.8945375697192282
HELZ,-0.7671239270401156
MRPS18B,0.329577271930555
VPS53,-1.1388249275751252
SCAF8,-0.979782829435961
TTC1,0.4253599011280332
ZBTB7C,-0.889354865263705
NDUFB3,0.3066275182715263
RBM8A,0.3276143064879621
ATP5F1A,0.1936588613346714
BRD4,-0.9191183886086892
PFDN4,0.3236323644368671
SNIP1,-1.0982189586581683
CUL5,-0.7201000132562043
TENT5C,-0.7865963787162249
RNF168,-0.918047371556904
PSMB7,0.1928119345885352
C17orf113,-1.931783992991616
ZNF850,-1.1230331248027288
RSL1D1,0.4611898240573986
CCDC167,0.3771586247550393
S100A11,0.4075549172362702
DR1,-0.7091703403656123
ZSWIM1,-1.5986333147896898
RPL21,0.3173165059850292
AKR1A1,0.3470008498308143
NRIP3,-1.4555480432134835
RNF122,-1.3763391800369265
ZFP36L2,-0.7314497661618133
CNMD,1.483888205073576
MRPS7,0.3130647116475751
MYEF2,-1.6086620010345989
KLRK1-AS1,0.338743240921251
ORC3,0.5928329221564523
