"","H_0_1","H_0_2","H_40_1","H_40_2","He_0_1","He_0_2","He_40_1","He_40_2"
"ENSG00000087460",8975,9297,11236,11737,25929,22860,17296,18444
"ENSG00000137818",12650,10516,13545,13295,7017,3132,21549,23362
"ENSG00000188846",12774,11756,14736,15107,17813,15405,15087,16617
"ENSG00000142676",8735,7777,8695,10132,31235,24080,17106,19724
"ENSG00000125144",0,0,12719,12325,1123,441,95075,102200
"ENSG00000124942",26033,26400,15448,16837,2332,3503,4132,3642
"ENSG00000065978",14623,12293,6943,7103,17401,18038,16609,16498
"ENSG00000197958",10350,8906,12700,13453,13309,9746,18867,20742
"ENSG00000147604",21984,20264,22254,23079,16097,12181,17490,18082
"ENSG00000105372",19238,17797,21885,21061,7528,3421,22852,24323
"ENSG00000169715",0,0,255,228,4165,2473,92923,104515
"ENSG00000110955",21856,20511,11890,12370,11269,8270,8020,7959
"ENSG00000143947",10694,9555,10156,9843,16661,10848,18008,18826
"ENSG00000162244",7971,6738,7387,6850,8301,4236,20811,22043
"ENSG00000173812",6324,5867,15711,16250,7457,5195,34451,35228
"ENSG00000105640",8415,7838,9462,9683,7791,3564,18296,21364
"ENSG00000013275",4586,4557,4414,4441,2903,1794,2895,2930
"ENSG00000122406",9381,9656,10114,10253,21613,16001,20374,20380
"ENSG00000177600",11803,10653,14258,15337,8781,4503,15661,19472
"ENSG00000150093",12451,12900,3662,4067,8003,12737,6585,5530
"ENSG00000105202",5895,5592,3787,3940,3260,1936,2766,3099
"ENSG00000139644",16941,16625,13770,14576,11334,10312,8407,8691
"ENSG00000125730",0,0,0,1,47170,42772,18045,17696
"ENSG00000187109",10206,10730,11072,11711,14717,14423,7054,7091
"ENSG00000112306",9494,8220,10220,10182,11543,6879,25610,27026
"ENSG00000142534",13726,11252,14166,14474,17243,13807,17469,17836
"ENSG00000170889",11435,10329,14440,14328,7509,3231,22468,23968
"ENSG00000138326",10022,9898,11276,11777,23478,22959,14379,16085
"ENSG00000115677",4436,4441,5626,6123,24006,24200,30772,31188
"ENSG00000197102",11144,11090,6913,7304,6167,8934,4240,3885
"ENSG00000145425",11420,11484,12464,12425,16710,11002,16229,15730
"ENSG00000168003",9805,8539,34205,33858,1887,1021,30756,31839
"ENSG00000122566",21396,18360,11547,11704,25714,27099,4857,4862
"ENSG00000164587",8391,7377,8989,9142,7771,3669,17382,18847
"ENSG00000187514",19106,19095,15608,16062,23786,22475,11116,11121
"ENSG00000134294",6491,6219,12639,13272,10124,15087,23005,20952
"ENSG00000242265",1718,1855,1510,1641,44646,66036,13157,12732
"ENSG00000197756",7214,6232,7956,8071,23000,14668,23737,25475
"ENSG00000197956",37265,28932,31689,31215,720,440,4110,4471
"ENSG00000115310",10035,9989,14630,14986,5841,5376,9900,9270
"ENSG00000130513",874,772,5611,5745,1861,895,30818,34387
"ENSG00000149428",4165,3698,8149,8561,3658,3793,8413,8144
"ENSG00000164733",9381,9190,6159,6402,11952,8114,12266,12519
"ENSG00000229117",14782,12272,13359,13502,7925,5684,14300,14127
"ENSG00000196235",4761,4474,6400,6596,1324,1025,5452,5386
"ENSG00000005884",6684,6342,3217,3145,33,25,100,101
"ENSG00000165092",47402,44990,19852,20774,18690,17238,4916,4918
"ENSG00000144713",9759,9556,12304,12828,11834,7530,12741,13833
"ENSG00000034510",10223,7366,8413,8932,5542,3393,18645,19985
"ENSG00000100867",19,17,5,6,37528,31988,39293,40363
"ENSG00000245532",7825,7810,37205,38552,5955,5143,4447,4401
"ENSG00000108518",15251,15182,12028,12743,12838,9252,6747,6516
"ENSG00000111057",20923,19502,15691,16349,12272,8286,15813,17580
"ENSG00000008988",13829,13333,16116,15483,21200,16430,11278,11387
"ENSG00000114867",19173,17025,12390,13239,8953,9331,13776,13002
"ENSG00000092199",10263,9238,7538,8052,17227,15501,17457,17993
"ENSG00000158874",0,1,5,1,55333,39140,17253,19832
"ENSG00000063046",9933,9465,7214,7800,11158,12096,13692,13376
"ENSG00000198755",7300,6590,8263,8472,15819,10189,18210,20315
"ENSG00000164111",12058,11847,14671,15683,9699,8917,17012,16737
"ENSG00000116285",4613,4448,10907,11328,3789,4454,18200,16568
"ENSG00000125691",5848,5623,6182,6495,25047,18457,17510,19441
"ENSG00000160211",34971,33543,15682,16320,1803,932,1781,1958
"ENSG00000118705",8774,8893,7726,7580,22718,18176,14500,14806
"ENSG00000153187",14382,13496,11097,11847,14975,16062,16896,16713
"ENSG00000167978",12566,12959,10854,11539,8591,14450,8654,8583
"ENSG00000177954",13908,14062,19827,21370,8603,4650,11414,13235
"ENSG00000145592",4112,3240,4022,4959,8062,5803,10291,11889
"ENSG00000167004",6056,5955,10058,10351,18661,18460,12224,12904
"ENSG00000163931",20270,18889,16935,18250,5015,2967,11708,12887
"ENSG00000184640",18156,16598,13309,13528,6939,6662,12567,12862
"ENSG00000181019",27180,26047,16390,16859,12229,8478,9674,9879
"ENSG00000131051",5160,5447,8251,8457,12004,12514,23887,23153
"ENSG00000251562",6320,8233,23749,23855,5076,5276,2287,3248
"ENSG00000165119",13935,12697,10403,11299,12280,12970,14822,14054
"ENSG00000067560",15423,15973,16500,17319,9584,8933,5620,5624
"ENSG00000026025",135,128,127,167,0,0,2,0
"ENSG00000189060",1784,1568,8546,9125,5752,5607,8551,8498
"ENSG00000132341",16716,17055,13477,14010,11611,9401,9251,9012
"ENSG00000197747",41789,36432,30728,31157,823,542,2374,2693
"ENSG00000163468",25680,23997,15392,16104,8628,7930,10721,11044
"ENSG00000147140",18339,18085,16447,17191,9365,8526,7142,7499
"ENSG00000151655",692,673,296,302,40240,41638,16533,15928
"ENSG00000141367",11280,11695,6176,6377,10035,12765,8498,7849
"ENSG00000009307",6187,6416,4617,5007,13331,15881,12130,11619
"ENSG00000136942",10804,10068,11133,12386,14473,8128,11465,12771
"ENSG00000101255",5947,5365,17783,18122,1646,1116,24813,26695
"ENSG00000130726",14323,13076,11463,11096,4916,2650,9240,9248
"ENSG00000131469",5842,5428,5599,5840,21159,16564,15199,16589
"ENSG00000044115",8255,8579,10670,11124,5378,5021,9831,9526
"ENSG00000108953",13223,13205,12225,12309,9278,9862,6574,6907
"ENSG00000132475",9748,9272,15864,16243,9121,6954,18400,18726
"ENSG00000091513",4,12,5,12,43771,33466,19060,19834
"ENSG00000128016",4287,3683,9666,9903,53,46,2626,2871
"ENSG00000106105",4400,4612,9885,10789,4858,4199,9410,9973
"ENSG00000110958",17179,16829,18227,18861,8012,7714,7015,6762
"ENSG00000115268",10820,10724,11865,11597,8288,4550,10862,12226
"ENSG00000087074",2511,2028,24654,25058,287,215,25739,26767
"ENSG00000143549",23848,23985,17353,17965,10201,10381,4901,4958
"ENSG00000143933",12056,12384,9030,9318,11725,10219,8894,8366
"ENSG00000090861",5295,4944,10813,11420,5011,4103,12587,12372
"ENSG00000135269",17175,17645,49245,52038,717,709,2622,2743
"ENSG00000134333",16292,16018,8417,8949,20473,18095,5837,5675
"ENSG00000198380",4651,4753,11893,12590,3603,5287,8095,7511
"ENSG00000165280",15558,14874,10914,11480,6608,4540,8580,8214
"ENSG00000119335",10349,10264,8844,9234,11997,11028,7929,7919
"ENSG00000109814",15383,15082,12114,12201,14947,16588,16157,15506
"ENSG00000063177",11953,10491,11169,11026,4329,2037,14242,14831
"ENSG00000108424",7900,8017,4205,4581,8511,9737,6399,6114
"ENSG00000171863",3335,3182,3256,3448,18488,12933,17674,19211
"ENSG00000102144",24571,22184,12542,13346,4862,3903,3702,3489
"ENSG00000205339",6593,7073,4410,4744,6473,9882,9514,8604
"ENSG00000143321",24833,21851,14488,15547,7527,5485,6211,6518
"ENSG00000169908",8590,8411,6564,7159,10486,8873,13349,13851
"ENSG00000174231",8688,8536,5875,5991,6374,7689,5217,4976
"ENSG00000106366",8461,8260,8042,8342,1065,774,22187,22228
"ENSG00000111669",17391,15342,7826,8342,6287,3289,3423,3807
"ENSG00000169714",9872,9914,15106,15983,11509,9888,8048,7975
"ENSG00000163191",19228,19837,19701,21533,624,466,2193,2404
"ENSG00000184575",4794,4976,5614,6273,3730,5338,3686,3493
"ENSG00000145741",5445,5348,5534,5923,15978,15141,10433,10582
"ENSG00000135404",16312,13277,11244,11771,3644,2200,5505,5886
"ENSG00000078369",5981,6047,6747,6646,7479,7442,5947,6010
"ENSG00000105221",3095,2728,1548,1620,875,705,855,754
"ENSG00000172270",8365,7393,7375,7852,6228,3705,6638,6920
"ENSG00000186468",3760,3860,4909,5965,15784,11583,7127,9137
"ENSG00000123562",7571,7474,16803,17847,5207,4951,2612,2505
"ENSG00000101294",6386,6083,12561,13166,4125,3200,9654,9888
"ENSG00000107581",7301,7081,5049,5115,7597,12016,13449,11869
"ENSG00000143384",7453,7180,12263,12530,3589,3998,11613,10574
"ENSG00000138071",7774,8026,3400,3620,6924,7920,3261,3032
"ENSG00000114942",4631,4585,4316,4537,17439,13769,14017,14823
"ENSG00000096696",7279,7699,5722,6193,9691,16614,9148,8032
"ENSG00000011304",10158,9340,6509,6967,5419,5358,13703,13608
"ENSG00000163399",7065,6629,3493,3502,14604,12861,12547,12408
"ENSG00000151632",18137,18010,12581,12526,9396,6625,15092,14958
"ENSG00000071082",6137,5154,6307,6375,10433,7365,16222,16613
"ENSG00000166825",4138,4132,2094,2056,3234,2705,1774,1712
"ENSG00000108828",3569,3528,5342,5693,2498,1501,6691,7054
"ENSG00000143761",8838,8527,11286,12071,5184,4049,13643,14397
"ENSG00000047849",7886,7549,8849,9436,3075,3869,5353,5340
"ENSG00000146678",342,283,7648,7449,1031,653,10542,10261
"ENSG00000213719",7139,6933,7677,7810,5878,3892,20156,21082
"ENSG00000128272",3998,3733,10562,10836,7487,5099,14487,15599
"ENSG00000147065",22779,23080,17196,17962,2,6,4,1
"ENSG00000146731",12329,11814,6764,6901,8941,8849,5349,5042
"ENSG00000172757",16440,13246,9697,9821,4140,2605,7139,7530
"ENSG00000120885",15156,14315,11865,12232,4426,3367,4496,4794
"ENSG00000136810",21999,23067,15536,16050,9508,7967,4111,4120
"ENSG00000108654",12841,11912,7992,8407,11578,12268,10699,10521
"ENSG00000135624",9186,8132,4919,5208,9695,6470,9112,9621
"ENSG00000086758",8803,9625,7104,7350,4586,6789,4388,4227
"ENSG00000130985",13634,13738,12151,12468,5539,4048,5052,4984
"ENSG00000130066",2124,1964,8643,8895,6321,5307,18790,19066
"ENSG00000100994",18903,17027,15548,15958,1407,1019,5314,5072
"ENSG00000188157",9371,8368,2730,2630,1140,769,1741,1716
"ENSG00000103257",11479,10314,4606,4965,4776,3402,10708,11228
"ENSG00000105835",24785,23536,23175,24481,1394,1602,2362,2275
"ENSG00000196419",7692,7345,6054,6126,14047,12494,10906,11047
"ENSG00000166710",7187,7121,8556,9113,7641,6614,4134,4642
"ENSG00000145192",10,10,5,10,21996,14010,24326,25772
"ENSG00000106541",12742,12332,43667,45203,72,56,350,347
"ENSG00000174437",15176,15596,9426,10014,6689,7965,8681,8067
"ENSG00000089597",10207,9351,4992,5295,2322,1724,1391,1431
"ENSG00000169100",6862,6112,7828,8094,6828,4529,16902,18372
"ENSG00000138095",6225,6369,3529,3740,11365,14394,7778,7296
"ENSG00000118181",6828,5408,6747,6984,5128,3829,10490,11743
"ENSG00000126247",7250,7226,5524,5795,4633,3676,2714,3012
"ENSG00000132507",14722,13292,11206,11638,4061,2606,7180,7008
"ENSG00000167468",9438,9738,14287,14941,5652,3807,5780,6232
"ENSG00000196154",38722,35218,24194,24072,127,80,430,468
"ENSG00000167460",10271,9946,8668,9004,8193,8557,4752,4440
"ENSG00000023839",13057,14006,5587,6194,8098,10388,16385,15023
"ENSG00000184216",20416,18314,8643,8923,1572,966,1613,1553
"ENSG00000205542",15518,14526,9274,9577,110,130,346,359
"ENSG00000120438",7091,7134,5286,5441,12497,12413,10619,10341
"ENSG00000130702",4457,4413,1351,1327,2085,1830,1551,1528
"ENSG00000197081",7661,7651,2230,2347,6230,9408,5451,4726
"ENSG00000110700",6719,5652,7291,7259,8834,6047,9883,11107
"ENSG00000175216",4435,4886,3464,3686,5352,6993,3454,3379
"ENSG00000140575",3483,3657,4330,4677,2531,3976,3333,3240
"ENSG00000128595",5544,5952,3598,3947,7294,10572,3977,3646
"ENSG00000196531",8972,9142,10322,10732,7971,6201,7166,7360
"ENSG00000168374",3030,2906,4700,4830,5346,4373,5692,5528
"ENSG00000155660",6356,6138,8398,8489,8795,7610,7099,7211
"ENSG00000168439",11273,10978,12536,13123,7946,7540,9680,9579
"ENSG00000135046",10270,10643,29380,30406,4,3,33,41
"ENSG00000144028",7190,7251,4751,4953,7441,8864,6619,6023
"ENSG00000005022",18868,17721,12432,13067,6620,4657,6843,6877
"ENSG00000198840",11516,10503,2842,3138,12704,14957,5573,5928
"ENSG00000150753",6192,6033,4545,4796,8859,8127,6698,7013
"ENSG00000125977",6436,6226,8890,9159,10480,10785,6148,6175
"ENSG00000166986",4172,3912,4909,5286,2544,1902,4283,4302
"ENSG00000116133",9442,8888,3732,4053,10859,9417,7219,6581
"ENSG00000177606",4786,4441,14579,15482,780,602,26777,27811
"ENSG00000134107",2697,2644,10022,10302,287,272,6257,6033
"ENSG00000108602",41202,34522,20577,20527,35,20,83,83
"ENSG00000171490",6457,6432,5324,5817,11075,11622,13569,15011
"ENSG00000115524",3612,3922,3510,3740,9186,13409,7629,6753
"ENSG00000058262",9729,8743,11605,11694,4348,3270,7574,7532
"ENSG00000075415",13487,11788,4641,4680,6777,4414,6293,6287
"ENSG00000105220",12332,12429,6746,6938,4306,2872,3329,3178
"ENSG00000137076",5659,5500,5062,5482,2914,3032,5133,4766
"ENSG00000152558",7175,7152,5096,5563,9887,13385,6561,5956
"ENSG00000130203",36,33,37,44,6368,2933,24415,27511
"ENSG00000167553",15134,15832,13904,13872,7093,5504,6407,6114
"ENSG00000079246",5985,6268,3741,3948,16416,17654,7323,7407
"ENSG00000104408",7812,8256,8806,9018,8166,8197,7122,7066
"ENSG00000100097",5583,4836,6865,7169,929,400,3387,3783
"ENSG00000175166",7696,7248,5005,5388,4358,3485,12173,11624
"ENSG00000138413",2573,2787,2706,2828,16011,16993,3751,3532
"ENSG00000129351",8730,7704,4878,5145,7852,7468,9212,8582
"ENSG00000142864",7048,6691,4202,4409,10157,12230,9565,9341
"ENSG00000106263",15417,14018,11623,11952,6474,5017,8606,8560
"ENSG00000197694",10507,10655,9595,10178,6822,7038,5900,5973
"ENSG00000142657",17127,15934,11902,12529,4144,3171,5671,5776
"ENSG00000115484",7997,7387,4891,4955,4769,3604,8217,8631
"ENSG00000127481",4066,4316,3061,3204,2551,4596,5575,5297
"ENSG00000089006",3570,3615,3362,3447,18210,17756,13190,13481
"ENSG00000103342",6519,6874,6185,6373,11426,11931,12758,12692
"ENSG00000132002",3830,3573,10739,10910,2757,2383,20626,21120
"ENSG00000100664",5108,5071,6661,7162,6106,6768,13724,12749
"ENSG00000170315",6833,6747,8807,9310,3875,2823,8202,8438
"ENSG00000072274",13504,13045,4614,4689,5124,7452,3915,3806
"ENSG00000196205",3112,2735,3613,3693,6212,5724,6630,7219
"ENSG00000104904",10309,9633,10016,10293,4759,2562,7559,8120
"ENSG00000170144",6508,5654,3178,3289,17943,19900,5059,4807
"ENSG00000144136",2618,2596,2502,2844,2292,2064,8003,8224
"ENSG00000125826",2906,2647,4571,4784,1692,1031,5096,5696
"ENSG00000253729",12700,13171,4213,4313,6972,10788,1911,1719
"ENSG00000134910",4729,4444,4509,4888,6377,6256,6059,5902
"ENSG00000182899",7494,6400,7477,8382,7329,4863,9186,9521
"ENSG00000105197",2488,2395,1317,1340,1127,615,1284,1230
"ENSG00000106211",11724,11139,17667,17498,1729,1034,3837,4523
"ENSG00000125868",8591,8626,9122,9341,4622,4408,3920,4175
"ENSG00000136238",7863,8114,8552,9027,4864,4787,5546,5732
"ENSG00000179134",3126,3143,2397,2577,738,599,1316,1407
"ENSG00000166913",9447,9736,6592,7343,9111,8318,6075,5982
"ENSG00000148248",6454,5991,8382,8423,6493,4966,10510,10583
"ENSG00000215301",12892,13257,6374,6769,7119,10522,4949,4608
"ENSG00000118785",4837,5045,3207,3445,30613,31406,4928,4907
"ENSG00000143924",3779,3926,1804,1873,9971,16822,3890,3517
"ENSG00000260032",5033,4706,6203,6626,7518,9915,4998,4621
"ENSG00000060237",7488,8030,5746,5880,3672,6252,2927,2643
"ENSG00000196305",5897,6225,5059,5220,6112,6775,4947,4642
"ENSG00000088325",6778,6873,4376,4663,9438,9919,4446,4365
"ENSG00000163902",6694,6507,6175,6198,7378,6121,7107,7231
"ENSG00000095139",5281,5492,6746,7050,4981,7378,7427,6748
"ENSG00000204469",4238,3755,2717,2845,2194,1797,15270,15289
"ENSG00000067082",1207,1120,4276,4452,1676,2079,18241,17064
"ENSG00000178982",3526,3258,3020,3226,2015,1309,1728,1866
"ENSG00000091583",1082,1162,572,592,42465,33303,7279,7701
"ENSG00000156976",5089,5161,6493,6808,6171,6587,9421,9299
"ENSG00000086061",9357,9139,10996,11215,7282,6919,8998,8850
"ENSG00000147162",6115,6423,6913,7209,2555,4355,1670,1470
"ENSG00000071054",3584,3492,2344,2470,18748,22785,9581,8998
"ENSG00000127603",1694,1770,1138,1205,3178,5351,3171,2955
"ENSG00000169045",5763,5694,3761,4105,10630,13659,4421,4279
"ENSG00000135677",5057,5216,4312,4666,1758,2066,921,842
"ENSG00000122218",4312,4231,5224,5497,4683,5222,7326,6995
"ENSG00000083857",12735,13223,3408,3503,6382,13673,6738,5671
"ENSG00000123416",14932,14403,5208,6109,5587,3426,2982,2736
"ENSG00000111371",7705,7779,7524,7900,2833,3960,5034,4713
"ENSG00000221983",5925,5679,6283,6749,8308,5515,7612,8094
"ENSG00000152291",4175,3972,1231,1302,8165,11199,2730,2644
"ENSG00000071127",10203,9764,7026,7264,6492,5719,6029,6360
"ENSG00000185567",6393,6434,5970,6152,24,41,156,152
"ENSG00000006712",1767,1534,1759,1813,1317,1278,1645,1787
"ENSG00000102007",11858,12351,13800,14134,39,33,49,58
"ENSG00000147872",1892,1964,8788,9364,3433,2672,9016,9240
"ENSG00000162909",8898,8747,8390,8876,1008,939,2410,2377
"ENSG00000075618",1448,1296,582,516,1959,1311,2302,2368
"ENSG00000197879",5109,4712,4782,5134,1552,1282,2524,2401
"ENSG00000079459",3252,3253,2109,2094,7553,6309,4326,4241
"ENSG00000122026",2411,2717,3182,3588,9575,5785,9360,10223
"ENSG00000069275",5852,6070,3548,3601,7081,10000,3429,3415
"ENSG00000087365",6340,5645,7048,7122,5698,4761,8560,8775
"ENSG00000182934",3281,3538,7289,7459,2638,2359,4820,4799
"ENSG00000138119",9719,9950,6274,6857,60,80,87,83
"ENSG00000101384",8613,8389,4208,4661,2209,2726,12674,11541
"ENSG00000104635",2478,2433,2063,1972,7328,7219,7116,6539
"ENSG00000130164",2829,2693,948,993,1131,1220,13430,12096
"ENSG00000160710",10056,10232,6081,6688,3508,4975,2415,2271
"ENSG00000124214",5382,5489,5707,6134,8671,8802,10960,10342
"ENSG00000118680",6712,6718,7727,8162,3846,2641,8334,8560
"ENSG00000156261",6022,5851,4904,4884,7724,7483,6116,5993
"ENSG00000008394",16074,16842,12796,13364,6801,6218,4069,4205
"ENSG00000163527",6579,6391,5257,5556,5695,7329,4227,3977
"ENSG00000106853",25520,26185,12143,12921,1377,1185,2327,2419
"ENSG00000142627",2948,2734,2104,2114,937,738,12060,11826
"ENSG00000152234",5612,5591,2873,2901,9611,7409,6614,6421
"ENSG00000101266",3080,3256,2481,2582,4549,5011,5766,5854
"ENSG00000125844",6153,5229,7512,7691,8260,7286,7358,7531
"ENSG00000197157",5225,4851,6052,6623,4042,3339,9144,8979
"ENSG00000177156",16678,15480,11363,11243,4179,2541,4102,4415
"ENSG00000100380",5014,5119,4996,5338,9231,10141,6979,6774
"ENSG00000136997",4279,4351,10671,10748,3691,3037,13602,14346
"ENSG00000244038",4089,3792,3600,3650,3911,2457,6347,6554
"ENSG00000165732",4086,4226,3109,3379,5538,9997,10033,8993
"ENSG00000151914",4045,4308,4276,4535,2646,5519,6225,5500
"ENSG00000120694",3246,3282,4978,5086,3991,4496,15575,14538
"ENSG00000082898",5639,5825,3962,4164,5284,6527,2863,2594
"ENSG00000131473",4574,4390,2179,2161,6210,5768,3680,3620
"ENSG00000147677",6413,6816,7121,7583,6546,5859,5007,5106
"ENSG00000155506",7567,7247,3318,3411,4834,5947,4081,4141
"ENSG00000197728",8912,9719,6290,6215,6581,4832,1854,2128
"ENSG00000101210",5331,4827,4505,4353,49,35,205,227
"ENSG00000135535",4181,4326,4081,4327,4858,5594,2899,2861
"ENSG00000168385",2649,2814,2318,2443,17587,17324,6033,5999
"ENSG00000134308",4661,4364,3761,3854,9298,9102,7547,7371
"ENSG00000084733",6778,6647,5715,6168,2935,3898,10632,11082
"ENSG00000160213",4006,3580,3878,4140,767,617,562,572
"ENSG00000156482",7598,6915,7912,8390,5845,3995,5995,5363
"ENSG00000117450",10002,9415,5448,5819,8024,5165,5844,5889
"ENSG00000100934",1697,1618,1506,1622,9290,12485,10678,10229
"ENSG00000065911",0,0,0,0,1977,2069,7626,7113
"ENSG00000198695",7501,7891,4252,4641,6277,5409,7104,5891
"ENSG00000075785",7836,7578,7904,8382,6017,6024,7097,6741
"ENSG00000108829",4949,4608,5322,5499,6120,4853,8724,8779
