Ensembl_ID,Entrez_ID,Gene_Symbol,logFC
ENSG00000146039,10050.0,SLC17A4,1.8567729
ENSG00000277222,55727.0,BTBD7,-1.878878510714285
ENSG00000170325,56980.0,PRDM10,-1.5203586
ENSG00000118482,23469.0,PHF3,-1.554342285714285
ENSG00000132507,1984.0,EIF5A,1.375463907142857
ENSG00000125746,24139.0,EML2,-2.472682028571428
,,LOC100131138,-1.612520067857142
ENSG00000123600,79828.0,METTL8,-1.904246864285714
ENSG00000186314,153768.0,PRELID2,1.881133639285714
ENSG00000164941,55656.0,INTS8,-1.547360392857142
ENSG00000146938,57502.0,NLGN4X,2.0048406
ENSG00000178234,63917.0,GALNT11,-1.341193807142857
ENSG00000164916,221937.0,FOXK1,-1.251522735714285
ENSG00000196171,81448.0,OR6K2,1.776212142857142
ENSG00000081087,28962.0,OSTM1,-1.843160260714285
ENSG00000082996,11342.0,RNF13,-1.4359457
ENSG00000149257,871.0,SERPINH1,1.775184832142857
,,LOC100499177,1.231701557142857
ENSG00000213626,81606.0,LBH,1.811986435714285
,,C15orf52,-1.781060571428571
ENSG00000135622,10505.0,SEMA4F,-1.469502435714286
ENSG00000105656,8178.0,ELL,-1.554961266071428
,,RABL5,1.6421799
ENSG00000167110,2801.0,GOLGA2,-1.007041242857143
ENSG00000170677,9306.0,SOCS6,-2.130723874999999
ENSG00000243156,57553.0,MICAL3,-1.461591732678571
ENSG00000197324,26020.0,LRP10,-1.394678185714286
,,FAM55C,-1.843011935714285
ENSG00000164180,153396.0,TMEM161B,-1.325667292857142
ENSG00000134809,26519.0,TIMM10,1.036142142857142
ENSG00000115504,23301.0,EHBP1,-1.415820164285714
ENSG00000205339,10527.0,IPO7,-1.397768624999999
ENSG00000181704,286451.0,YIPF6,-1.670502128571428
ENSG00000275746,51621.0,KLF13,-1.282559744642857
ENSG00000163273,4880.0,NPPC,2.698614076785713
,,ATP5I,1.076685425
ENSG00000289690,56257.0,MEPCE,1.109096257142857
ENSG00000126903,8273.0,SLC10A3,1.2445245
ENSG00000140153,91833.0,WDR20,-1.5960256875
,,ATP5J2,1.964402142857143
ENSG00000157107,115548.0,FCHO2,-1.362874549999999
ENSG00000119401,22954.0,TRIM32,-1.417298576785714
ENSG00000176148,55346.0,TCP11L1,-2.028432928571428
ENSG00000265479,441263.0,DTX2P1-UPK3BP1-PMS2P11,1.844267014285714
ENSG00000131724,3597.0,IL13RA1,-1.058699553571428
ENSG00000010818,3097.0,HIVEP2,-1.735338092857143
ENSG00000164171,3673.0,ITGA2,-2.849785223214286
ENSG00000085760,4528.0,MTIF2,-1.300887721428571
,,ZNF238,1.138578053571428
ENSG00000105379,2109.0,ETFB,1.599391714285714
ENSG00000148356,90678.0,LRSAM1,-1.141417271428571
ENSG00000078674,5108.0,PCM1,1.212745142857143
ENSG00000205927,10215.0,OLIG2,1.277686428571428
ENSG00000082269,57579.0,FAM135A,-1.700197392499999
ENSG00000139289,22822.0,PHLDA1,-1.873556478571428
ENSG00000256436,259290.0,TAS2R31,-1.311253035714285
ENSG00000134030,9811.0,CTIF,-1.613474014285714
ENSG00000035403,7414.0,VCL,-1.189311433928571
ENSG00000178381,90637.0,ZFAND2A,1.737307057142857
ENSG00000007944,29116.0,MYLIP,1.744515871428571
ENSG00000103168,9013.0,TAF1C,-1.146024449999999
ENSG00000113761,23567.0,ZNF346,1.626606707142856
ENSG00000137802,23005.0,MAPKBP1,-1.460037107142857
ENSG00000215375,4636.0,MYL5,1.507638703571428
ENSG00000196358,84628.0,NTNG2,1.822621332142857
ENSG00000165434,283209.0,PGM2L1,2.030719499999999
ENSG00000138303,51008.0,ASCC1,-1.357458857142857
ENSG00000111145,2004.0,ELK3,-1.900683964285714
ENSG00000157227,4323.0,MMP14,-2.518505571428571
,,CTAGE15P,-1.206920885714285
ENSG00000169230,27166.0,PRELID1,1.5226436
ENSG00000102786,26512.0,INTS6,-1.064654094642857
